Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
244.91,745.26,61.905,15.328,4.6636e-05,0.27477,0.042817,0.032317,0.028984,0.45505,0.022146,0.14268003129680648
244.06,698.16,62.111,15.342,4.6495e-05,0.27456,0.042653,0.032331,0.028934,0.4574,0.022082,0.14299293591192355
237.67,709.19,62.517,15.304,4.7532e-05,0.27413,0.042874,0.03223,0.028996,0.45839,0.022105,0.14312069287937113
241.41,741.61,61.879,15.34,4.6105e-05,0.27459,0.042889,0.032281,0.029002,0.45873,0.022154,0.14327499545740416
239.6,751.3,62.398,15.327,4.5839e-05,0.27439,0.042983,0.032235,0.029023,0.46058,0.022164,0.1435624718875593
246.89,748.44,61.392,15.291,4.6178e-05,0.27502,0.042799,0.032334,0.028979,0.46053,0.022153,0.14363598136958847
244.91,767.69,61.905,15.908,4.6636e-05,0.27447,0.04287,0.032327,0.028933,0.46216,0.022206,0.14382671990057008
237.67,709.19,62.517,15.78,4.7532e-05,0.27377,0.042875,0.032224,0.028927,0.46325,0.022127,0.14386175894214112
244.23,729.24,61.987,15.96,4.4151e-05,0.27435,0.042762,0.032322,0.028879,0.46357,0.022169,0.1440090512146073
237.57,687.06,62.568,15.628,4.5553e-05,0.27388,0.042786,0.032237,0.028919,0.46463,0.022094,0.14409183616136276
