Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
1.7345,76.732,31.218,7.7909,5.3114e-05,0.19106,0.076069,0.049815,0.055026,0.37932,0.028196,0.12991516786405208
1.7917,80.001,31.718,8.0869,5.2422e-05,0.19026,0.075897,0.049813,0.055659,0.38384,0.028404,0.13064448775675971
1.8771,82.527,32.142,7.706,5.0924e-05,0.19168,0.075782,0.04931,0.054887,0.38411,0.028167,0.1306551372753276
8.6541,11.546,19.298,6.6068,4.3279e-08,0.24917,0.055915,0.03035,0.031475,0.40145,0.022508,0.1318126103658571
1.7742,77.916,31.181,7.6385,5.3436e-05,0.19182,0.075992,0.049558,0.054577,0.39433,0.028079,0.13239266140299613
1.7646,79.339,31.759,7.8447,5.1756e-05,0.19084,0.076017,0.049763,0.05528,0.39847,0.028258,0.1331043974681857
1.7646,79.339,31.759,7.6759,5.1756e-05,0.19142,0.076054,0.049651,0.054912,0.40017,0.028138,0.13339055649497225
1.8603,77.326,32.5,7.5651,5.1756e-05,0.192,0.07589,0.049422,0.054524,0.40492,0.028033,0.13413255933432075
1.693,76.717,31.213,7.671,5.2746e-05,0.19129,0.076212,0.049865,0.054873,0.40605,0.028116,0.134400427316193
1.6153,73.698,30.287,7.7318,5.0307e-05,0.1908,0.076382,0.050129,0.055297,0.41049,0.028187,0.13521369197568509
