Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
438.63,4.026,63.818,9.07,0.1293,0.10991,0.29943,0.2221,0.045622,0.035915,0.10874,0.047162,0.13404,1.132223914261287
437.64,3.9503,64.277,9.0984,0.12924,0.11005,0.30217,0.22205,0.045782,0.035729,0.1087,0.047091,0.13384,1.1346458139543738
435.05,4.0312,63.954,9.0948,0.12928,0.11,0.30281,0.22206,0.045649,0.035816,0.10869,0.047173,0.134,1.1354752872227833
441.63,3.9601,63.46,8.5859,0.12942,0.10935,0.30424,0.22197,0.046774,0.035795,0.10864,0.046609,0.13306,1.1358633842716972
434.32,3.9202,64.64,9.2392,0.12917,0.1103,0.30509,0.22203,0.04565,0.035604,0.10867,0.04717,0.13392,1.1376033189980517
431.61,3.9646,64.476,9.2581,0.12919,0.11031,0.30687,0.22203,0.045554,0.035628,0.10865,0.047233,0.13402,1.1394913094789967
436.16,4.1525,63.493,8.8613,0.12941,0.1096,0.3083,0.22204,0.045883,0.035945,0.10865,0.047064,0.13386,1.1407517280290267
434.13,3.7907,64.639,9.2817,0.12909,0.11043,0.30859,0.22202,0.045837,0.035478,0.1087,0.047049,0.13374,1.1409394307447427
433.05,3.931,64.865,9.3092,0.12915,0.11039,0.30858,0.22203,0.045546,0.035565,0.10866,0.047223,0.134,1.1411480501690896
442.77,3.8679,63.947,9.0665,0.12924,0.10996,0.31063,0.2221,0.045861,0.035823,0.1088,0.047005,0.13379,1.1432086976073614
