Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g185),Error (g238),Error (g164),Error (g243),Error (g50),Error (g138),Error (g223),Error (curve),Reduced Error
3827.9,0.0034944,4.5194,15.287,0.11454,0.063599,0.15071,0.11515,0.06735,0.071968,0.21044,0.19013,1.0375,2.02141072961835
3600.6,0.0030248,6.5285,16.848,0.11275,0.062294,0.15028,0.1145,0.068082,0.072708,0.21082,0.1884,1.0557,2.035545840187857
3755.6,0.048755,111.92,11.413,0.097094,0.054945,0.15687,0.13053,0.067288,0.11814,0.14834,0.73798,0.60831,2.1194856186576216
3644.1,0.05186,119.97,11.451,0.096852,0.05495,0.15694,0.1308,0.067241,0.11884,0.1474,0.72211,0.64231,2.137444138120864
3806.3,0.049113,118.31,11.354,0.09708,0.054768,0.15685,0.1302,0.067511,0.11792,0.14823,0.76473,0.608,2.145301781879691
3877.0,0.045564,89.14,11.375,0.097817,0.055514,0.15663,0.13088,0.066597,0.11657,0.15007,0.71158,0.67075,2.1564019252564277
3780.7,0.048343,117.54,11.377,0.096992,0.054729,0.15692,0.13017,0.06758,0.11818,0.14829,0.76383,0.62135,2.158052770409099
3809.7,0.048354,120.12,11.341,0.097001,0.054645,0.15692,0.13,0.067688,0.11803,0.1483,0.77905,0.61681,2.168441095137819
3809.7,0.048354,120.12,11.331,0.097003,0.054649,0.15692,0.12999,0.067689,0.11802,0.1483,0.7798,0.61776,2.170129341352827
3839.4,0.048374,120.28,11.417,0.097041,0.054605,0.15684,0.13002,0.067678,0.11795,0.14832,0.77894,0.62596,2.1773546183917887
