10.0, 1.06241
20.0, 0.538037
30.0, 0.42945
40.0, 0.41113
50.0, 0.371957
60.0, 0.351953
70.0, 0.337904
80.0, 0.316831
90.0, 0.316831
100.0, 0.315291
110.0, 0.303248
120.0, 0.298155
130.0, 0.295531
140.0, 0.295531
150.0, 0.288635
160.0, 0.274905
170.0, 0.274905
180.0, 0.274905
190.0, 0.274905
200.0, 0.252293
210.0, 0.243491
220.0, 0.23133
230.0, 0.227287
240.0, 0.227287
250.0, 0.222091
260.0, 0.222091
270.0, 0.222047
280.0, 0.222047
290.0, 0.216044
300.0, 0.216044
310.0, 0.215897
320.0, 0.20444
330.0, 0.199772
340.0, 0.199772
350.0, 0.199772
360.0, 0.18929
370.0, 0.18929
380.0, 0.18929
390.0, 0.18929
400.0, 0.186705
410.0, 0.186705
420.0, 0.18009
430.0, 0.179878
440.0, 0.179613
450.0, 0.178289
460.0, 0.176591
470.0, 0.176591
480.0, 0.176591
490.0, 0.176591
500.0, 0.176591
510.0, 0.176591
