Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
1996.2,0.13255,124.77,10.378,0.06465,0.090279,0.12839,0.19229,0.065222,0.055597,0.5964243184306164
1996.3,0.13411,124.57,10.322,0.064625,0.09031,0.12851,0.19246,0.065224,0.055602,0.5967324482335095
1996.3,0.13286,125.27,10.365,0.064617,0.090308,0.12839,0.19419,0.065223,0.055602,0.5983315575426265
1996.0,0.13221,124.94,10.378,0.064625,0.090302,0.12836,0.19702,0.065228,0.055597,0.6011265624638733
1990.5,0.13518,122.09,10.383,0.064905,0.090053,0.1287,0.21316,0.065182,0.055584,0.6175797085594089
1998.1,0.13629,123.85,10.381,0.064886,0.09006,0.12872,0.22913,0.065158,0.055604,0.6335638342732514
1674.2,0.13943,124.57,15.192,0.070913,0.084299,0.12876,0.23639,0.063726,0.055384,0.6394718080684375
1673.9,0.13944,124.59,15.197,0.070912,0.084299,0.12876,0.23663,0.063724,0.055385,0.6397126365290473
1698.6,0.13813,124.12,15.19,0.070968,0.084267,0.12885,0.23657,0.063722,0.055377,0.6397540359336333
1672.0,0.13946,124.58,15.197,0.070909,0.084301,0.12875,0.23669,0.063727,0.055384,0.6397698984037259
