Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g59),Error (g237),Error (curve),Error (g63),Error (g86),Reduced Error
640.49,0.43049,119.08,19.923,0.069684,0.061972,0.085007,0.2151,0.1296,0.055647,0.6170118881683789
640.53,0.42611,119.87,19.981,0.069627,0.061983,0.085044,0.21518,0.12956,0.055643,0.6170413253313021
640.53,0.42855,119.07,19.953,0.069696,0.061984,0.085002,0.21526,0.12961,0.055641,0.6171878721950699
640.32,0.42853,119.04,19.959,0.069694,0.061985,0.085004,0.21567,0.12961,0.05564,0.6176071616793833
639.19,0.42691,120.09,19.995,0.069571,0.061978,0.085081,0.21584,0.12952,0.055644,0.6176336609034356
640.38,0.42731,119.22,19.998,0.069685,0.061989,0.085009,0.21598,0.12961,0.055637,0.6179055512178967
639.93,0.43113,118.77,19.923,0.0697,0.061975,0.085,0.21628,0.12961,0.055644,0.6182076935383236
640.62,0.42943,119.84,19.972,0.069618,0.061964,0.085044,0.21695,0.12956,0.055651,0.6187851821426085
636.89,0.43076,120.2,19.996,0.069495,0.061961,0.085131,0.21722,0.12947,0.05565,0.6189164599468828
640.55,0.42654,119.29,19.922,0.069679,0.061991,0.085016,0.21778,0.12959,0.05564,0.6197021315914653
