Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
1789.1,0.13297,123.87,15.775,0.071034,0.084364,0.12982,0.18936,0.063017,0.055757,0.5933501686043593
1788.6,0.13269,124.12,15.77,0.070991,0.084394,0.1298,0.18984,0.063018,0.05576,0.5938010281498329
1786.1,0.13327,123.99,15.758,0.071026,0.084364,0.12982,0.18994,0.063019,0.055756,0.5939203035369846
1785.7,0.1332,124.09,15.759,0.071012,0.084373,0.1298,0.18996,0.063019,0.055756,0.5939247529165063
1794.4,0.133,123.68,15.762,0.071055,0.084353,0.12988,0.18987,0.063019,0.05576,0.593941612160584
1786.5,0.13328,123.97,15.759,0.07103,0.084361,0.12982,0.18997,0.063019,0.055756,0.59395476615445
1789.0,0.13277,123.88,15.775,0.071023,0.084374,0.12981,0.1901,0.063019,0.055758,0.5940911478625276
1787.6,0.13328,124.02,15.757,0.071025,0.084365,0.12982,0.19053,0.063018,0.055757,0.5945185004656105
1777.9,0.1329,124.1,15.766,0.07099,0.084389,0.12974,0.19079,0.063027,0.055752,0.5946860077859687
1760.2,0.13337,124.35,15.742,0.070956,0.0844,0.12964,0.19137,0.06304,0.05574,0.5951441363775297
