iteration,cp_tau_s,cp_b,cp_tau_0,cp_n,cp_gamma_0,stress_error,geodesic_error,reduced_error
1,55.592,0.56705,30.023,2.8369,4.4273e-07,0.29490355657829115,0.08865119021969378,0.32312210684717946
2,180.95,0.65937,48.629,3.1537,1.3281e-06,0.051216677447778025,0.08408823038017821,0.07798279248948892
3,186.44,0.59391,52.14,3.9982,1.4498e-06,0.16807561914544272,0.07800006961554917,0.19290381242709592
4,227.22,0.66203,47.852,6.7868,4.3185e-07,0.1594228421564997,0.07389905534392212,0.18294564205211322
5,526.78,0.53993,160.28,13.17,2.8826e-05,0.1913645435423491,0.07235352855492884,0.21439538698166416
6,394.63,0.6347,100.23,11.415,5.0534e-06,0.018536686871674174,0.07307128887029438,0.04179600051528047
7,419.82,0.63922,104.2,15.624,3.6958e-06,0.04018089850006702,0.07301063662664398,0.06342090593490017
8,411.59,0.74208,94.82,15.959,8.6255e-06,0.03373718397104772,0.0732375417935862,0.05704941756374475
9,494.02,0.50636,99.313,12.387,4.517e-06,0.020211962854145223,0.0732407940690624,0.04352523167827893
10,433.23,0.5816,101.5,13.052,4.9721e-06,0.019055599014400165,0.07316942951293728,0.04234615179479613
11,455.66,0.58146,102.25,13.326,8.357e-06,0.021843278647740993,0.07318735038755492,0.045139535819696805
12,478.84,0.50816,99.543,11.785,4.3216e-06,0.018550088955464412,0.07319335757683706,0.04184825827515691
13,482.14,0.50125,99.021,11.356,3.9338e-06,0.02208320276616096,0.07318888153966546,0.04537994731897081
