Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
412.57,8.5573,89.73,2.2046,0.043994,0.099458,0.089271,0.14316,0.227,0.10583,0.24985,0.11485,0.11854,1.1919601028268496
412.11,8.5031,89.946,2.2037,0.043995,0.099473,0.089339,0.14317,0.22701,0.10587,0.25063,0.11485,0.11856,1.1928961575001547
418.35,7.447,89.904,2.2049,0.043924,0.09966,0.089285,0.14318,0.22701,0.10588,0.25165,0.1148,0.1187,1.194081193825985
408.88,8.8338,89.701,2.2069,0.044022,0.099378,0.089179,0.14312,0.22698,0.10575,0.25659,0.11486,0.11847,1.1983398052131156
420.04,6.2079,89.765,2.2161,0.043842,0.099801,0.088857,0.14308,0.22693,0.1056,0.25854,0.11472,0.11878,1.2001553482310978
422.08,5.9919,89.887,2.2161,0.043817,0.099887,0.088892,0.14309,0.22695,0.10564,0.26088,0.11471,0.11883,1.202691728070507
421.36,5.9885,89.746,2.2171,0.043821,0.099858,0.088831,0.14307,0.22693,0.10559,0.26137,0.11471,0.11881,1.2029986376007924
403.13,8.6527,89.8,2.2522,0.044097,0.099199,0.087342,0.14264,0.22664,0.1045,0.26703,0.11482,0.11804,1.204301415086308
418.96,6.1977,89.89,2.2134,0.043844,0.099796,0.088993,0.14311,0.22695,0.10568,0.26366,0.11473,0.1188,1.2055589151622759
424.95,5.9769,89.852,2.2054,0.043791,0.099989,0.089346,0.14322,0.22704,0.10595,0.26317,0.11472,0.11895,1.2061778237403724
