Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1.5585,0.11235,169.65,1.0032,0.1734,0.07721,0.1479,0.11842,2.9931,0.088109,3.5980931188072582
1.5577,0.1123,176.27,1.0012,0.1743,0.078391,0.14934,0.11767,2.9921,0.089453,3.6012437120544285
1.5536,0.11214,176.27,1.0039,0.17426,0.078384,0.14919,0.11769,2.9945,0.089375,3.603445786667824
1.5578,0.11231,176.24,1.0033,0.17425,0.078357,0.14922,0.11767,2.9947,0.089377,3.6035718658922153
1.5842,0.10893,172.1,1.0065,0.17362,0.077519,0.1483,0.11814,2.9982,0.08847,3.604199945528139
1.5112,0.12558,172.77,1.014,0.1734,0.077596,0.14779,0.11788,3.0082,0.088236,3.613138980608434
1.6301,0.10317,177.86,1.0017,0.17444,0.078453,0.14982,0.1175,3.0073,0.08973,3.6172862840531215
1.5657,0.12492,175.91,1.0078,0.1737,0.077892,0.14889,0.1173,3.0119,0.08894,3.6186406352057934
1.2831,0.16983,186.78,1.0021,0.17552,0.080768,0.15031,0.11635,3.0086,0.091266,3.6227665072703723
1.5348,0.12961,167.35,1.0173,0.17241,0.076384,0.14658,0.11828,3.0265,0.086978,3.627144375159696
