Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
169.28,86.197,548.33,738.14,578.6,546.42,488.76,1.7171,0.1402,0.66111,0.050617,0.16907,0.21503,0.10961,0.094087,0.043682,0.039593,1.5230087293651062
163.68,86.218,548.26,738.15,578.6,546.76,488.68,1.7169,0.14031,0.68295,0.050736,0.1693,0.21503,0.10991,0.094064,0.043579,0.03946,1.5453325010701313
162.98,86.501,527.28,742.5,578.62,547.0,491.17,1.7103,0.14046,0.68548,0.050821,0.16948,0.215,0.11009,0.09401,0.043437,0.039447,1.5482196471466272
162.82,87.372,571.89,819.42,578.6,546.52,497.42,1.7168,0.13914,0.69696,0.050217,0.16689,0.21506,0.10782,0.094439,0.044483,0.040596,1.555604157478252
166.07,87.065,497.15,779.8,585.94,545.59,488.66,1.6648,0.14069,0.69547,0.050973,0.16983,0.21493,0.11026,0.093829,0.043314,0.039514,1.5587972612304077
161.63,87.779,544.34,740.17,575.4,547.33,498.03,1.7071,0.13976,0.69865,0.050554,0.16852,0.21511,0.10893,0.094248,0.043941,0.039763,1.5594826574626133
163.5,85.865,549.91,762.84,578.11,546.66,483.25,1.6571,0.14049,0.69752,0.050934,0.17022,0.215,0.11001,0.093849,0.043729,0.039239,1.5609955857785907
167.82,86.827,505.77,807.77,578.24,548.14,498.79,1.7184,0.14007,0.70614,0.050543,0.168,0.21491,0.10896,0.094125,0.043705,0.040318,1.566772108144046
159.21,86.803,547.8,829.75,578.65,546.15,488.33,1.6021,0.13998,0.70629,0.050866,0.16959,0.215,0.10895,0.093872,0.044305,0.039675,1.568532086395332
173.65,84.374,547.99,739.61,578.6,545.84,487.89,1.7114,0.14048,0.71243,0.050638,0.16946,0.21494,0.10961,0.093931,0.043755,0.039618,1.574852294494848
