Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g14),Error (g240),Error (g101),Error (g72),Error (g287),Error (g207),Error (g262),Error (g95),Reduced Error
2688.6,0.0153,282.54,6.7258,0.3558,0.038025,0.21924,0.0711,0.10903,0.12527,0.083417,0.11541,0.13467,1.2519679241914268
2687.8,0.015594,281.67,6.6672,0.35795,0.038067,0.21927,0.071073,0.10897,0.12514,0.083383,0.11547,0.13469,1.25401829035914
2728.4,0.01547,280.76,6.7314,0.35883,0.037967,0.21921,0.070957,0.10924,0.12529,0.083415,0.11548,0.13464,1.2550266627791977
2680.3,0.015057,283.32,6.7803,0.36562,0.03803,0.21922,0.071017,0.10913,0.12533,0.083352,0.11539,0.13464,1.2617231508264521
2691.7,0.015592,277.51,6.7422,0.3683,0.038257,0.21926,0.069801,0.10988,0.12467,0.082535,0.11592,0.13449,1.2631159303757198
2700.5,0.014962,294.54,6.7715,0.37371,0.03757,0.21916,0.073578,0.10896,0.12661,0.085168,0.1144,0.13505,1.274210441449511
2695.2,0.015687,280.25,6.7331,0.37941,0.038165,0.21926,0.070382,0.10952,0.12493,0.082938,0.1157,0.13459,1.2748922731643892
2748.8,0.015834,285.21,6.8437,0.39109,0.037923,0.21916,0.071131,0.10972,0.12559,0.083596,0.11533,0.13469,1.2882357707792493
2684.6,0.015079,283.25,6.7227,0.39366,0.037966,0.21923,0.071382,0.10883,0.12541,0.083603,0.1153,0.1347,1.2900784387650515
2699.3,0.015391,271.18,6.7668,0.39672,0.038415,0.21926,0.068596,0.11078,0.12417,0.081728,0.11641,0.13428,1.2903705623103143
