Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
2282.4,6.1626,426.13,2.8956,0.13131,0.067882,0.10721,0.1652,1.0869,0.13648,1.7148,0.17557,0.063844,3.6492291276140127
2276.4,6.1617,429.33,2.6839,0.134,0.067407,0.10646,0.16567,1.2828,0.13644,1.5462,0.17848,0.064301,3.6817157737880284
2261.0,6.2129,431.46,2.8147,0.1321,0.067437,0.10712,0.1649,1.0834,0.1363,1.7728,0.17469,0.063981,3.702715779327216
2053.1,6.0139,482.93,2.5925,0.13162,0.065275,0.1109,0.15902,0.66081,0.13357,2.2315,0.14889,0.063479,3.7051050200817
2288.7,6.1599,428.01,2.8536,0.13162,0.067836,0.10705,0.16537,1.114,0.1364,1.7588,0.17577,0.06392,3.7207385609198793
2265.4,6.1855,433.76,2.6862,0.13383,0.067119,0.10671,0.16518,1.1953,0.13628,1.6935,0.17629,0.064243,3.738422555084835
2315.4,6.068,434.54,2.6915,0.13404,0.067495,0.10673,0.16572,1.2926,0.13645,1.6159,0.17646,0.064048,3.7594008044451264
2275.4,6.1398,429.81,2.7649,0.13278,0.067574,0.10679,0.16549,1.2342,0.13643,1.6916,0.17668,0.064076,3.77568898995717
2300.6,6.1524,428.63,2.8152,0.13225,0.067759,0.10692,0.16551,1.186,0.13641,1.7489,0.17614,0.063953,3.7838595976221874
2312.1,6.1566,427.99,2.6704,0.1345,0.067577,0.10634,0.16596,1.3229,0.1365,1.6593,0.17937,0.064296,3.8367361619720506
