Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g56),Error (g72),Error (g262),Error (g223),Error (g237),Error (g51),Error (curve),Error (g80),Error (g126),Reduced Error
1083.0,0.25079,122.4,5.2676,0.047884,0.11072,0.1141,0.13726,0.099607,0.13454,0.24992,0.25426,0.031131,1.1794368905122201
1082.9,0.25183,122.04,5.2855,0.04766,0.11058,0.11411,0.13725,0.099467,0.13446,0.25109,0.25435,0.031037,1.1799832823875727
1083.1,0.25079,122.5,5.2627,0.047947,0.11076,0.11409,0.13727,0.099646,0.13457,0.25085,0.25424,0.031154,1.1805184623868383
1084.1,0.25181,122.11,5.3243,0.046954,0.10952,0.1141,0.13719,0.099243,0.1343,0.25405,0.25449,0.030898,1.1807570708742836
1082.2,0.25075,122.4,5.248,0.048138,0.1108,0.11408,0.13728,0.099739,0.13466,0.25181,0.25418,0.0312,1.1818884581010747
1084.6,0.2511,122.34,5.2635,0.047953,0.11076,0.1141,0.13723,0.099623,0.13456,0.25285,0.25425,0.031135,1.1824530921249445
1080.9,0.25056,122.53,5.2729,0.047792,0.11067,0.11409,0.13731,0.099593,0.13453,0.25313,0.25427,0.031127,1.182517127297607
1082.8,0.24884,123.1,5.2628,0.047894,0.11075,0.11409,0.1373,0.099691,0.13457,0.2561,0.25422,0.031205,1.1858182299457736
1092.4,0.247,122.97,5.3121,0.047246,0.11041,0.11415,0.13706,0.09932,0.13433,0.25848,0.25446,0.031026,1.186483996549755
1082.9,0.25088,122.74,5.2524,0.048092,0.11078,0.11408,0.1373,0.099739,0.13464,0.25711,0.25418,0.031205,1.1871218288733403
