Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
103.51,590.33,0.52756,594.88,0.085123,745.2,104.52,5.5101,0.11786,0.58983,0.060654,0.1562,0.23469,0.1007,0.0865,0.091735,0.10089,1.539062137452837
103.63,589.52,0.55913,597.41,0.093309,745.52,105.82,5.2101,0.11837,0.60055,0.061382,0.15651,0.23499,0.10156,0.085776,0.090576,0.10042,1.5501298649232194
102.26,592.66,0.54336,594.53,0.085126,743.75,104.61,5.5085,0.11791,0.64107,0.060773,0.15624,0.23475,0.10066,0.086421,0.091776,0.10102,1.5906196608473957
13.696,685.69,1.7868,677.16,871.37,832.05,39.902,2.7485,0.12848,0.77172,0.048694,0.16073,0.22131,0.14359,0.1018,0.048288,0.044375,1.6689847763210852
103.47,705.58,0.56768,736.97,0.092909,716.88,104.56,4.9227,0.11634,0.70831,0.062387,0.1594,0.23646,0.10806,0.090997,0.097451,0.10893,1.6883343051760689
99.304,633.32,0.46756,587.87,0.085207,739.79,110.39,5.51,0.1164,0.76359,0.059561,0.15596,0.23479,0.10211,0.088342,0.094216,0.10236,1.717338700235025
112.75,601.08,0.54316,597.14,0.085222,744.95,111.17,5.5096,0.11607,0.80318,0.059442,0.15641,0.23495,0.1033,0.089648,0.095328,0.10376,1.7620831600469211
13.871,696.52,1.7264,722.52,824.34,785.62,38.074,2.577,0.12929,0.87144,0.048643,0.16289,0.22166,0.15043,0.10092,0.048464,0.044764,1.778493031397054
14.026,689.63,7.8246,686.99,666.9,810.35,36.6,2.5808,0.12914,0.9535,0.048904,0.15832,0.22094,0.10762,0.10247,0.045876,0.042241,1.8090210364212065
13.962,687.86,7.0939,682.76,619.27,816.05,35.454,2.4929,0.13111,0.95634,0.050045,0.16347,0.22138,0.11259,0.10058,0.044252,0.042217,1.8219993938751413
