Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1996.4,0.12259,124.21,8.6982,0.065108,0.089776,0.12803,0.066365,0.17314,0.055082,0.5775009284249153
1998.8,0.1224,124.67,8.6805,0.065045,0.089837,0.12799,0.066377,0.17377,0.055084,0.5781000756051391
1995.2,0.12228,125.03,8.8199,0.065277,0.089605,0.12801,0.066282,0.17458,0.055105,0.5788672976297096
1980.2,0.12367,124.22,8.7006,0.065158,0.089712,0.12808,0.066375,0.17468,0.055075,0.5790789628728231
1995.1,0.1222,124.33,8.8334,0.065336,0.08955,0.12805,0.066276,0.17539,0.055098,0.5797024916494776
1955.3,0.12481,124.86,8.7517,0.065271,0.089575,0.12813,0.066361,0.17703,0.055075,0.5814423827896216
1998.3,0.12195,125.9,8.7937,0.065174,0.089703,0.12795,0.066301,0.1798,0.055111,0.5840371434294646
1996.8,0.12279,122.76,8.6767,0.065145,0.089745,0.12809,0.066379,0.18013,0.055064,0.5845565601910716
1999.2,0.12123,124.45,8.6756,0.065019,0.089859,0.12795,0.066401,0.18096,0.055077,0.5852590070508036
1975.5,0.12207,126.07,9.0795,0.065688,0.089179,0.12804,0.066152,0.18158,0.055128,0.5857679267614401
