Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g86),Error (g237),Error (g303),Error (curve),Error (g63),Reduced Error
1994.4,0.13236,123.14,7.6811,0.066575,0.055336,0.091036,0.063971,0.091582,0.13028,0.4987777654918881
1994.4,0.13236,123.01,7.6711,0.066582,0.055334,0.091048,0.063962,0.091924,0.13029,0.4991449047701585
1990.0,0.13233,123.29,7.6989,0.066567,0.055339,0.091,0.063995,0.093734,0.13023,0.5008678199401113
1993.4,0.13083,123.81,7.5983,0.066704,0.055296,0.091215,0.063774,0.094536,0.13018,0.5017064801203048
1980.1,0.13349,123.09,7.6959,0.066547,0.055347,0.090942,0.064046,0.094612,0.13028,0.5017742600533275
1970.3,0.1344,123.8,7.7996,0.066467,0.055379,0.090745,0.064203,0.095666,0.13014,0.5026025718466356
1992.1,0.13166,124.7,7.6891,0.066616,0.055328,0.09108,0.063892,0.095785,0.13009,0.5027899366656456
1978.6,0.13226,123.4,7.5806,0.066688,0.055303,0.091157,0.063825,0.095572,0.13026,0.5028012300432338
1979.6,0.13227,123.39,7.5614,0.066705,0.055298,0.091188,0.063795,0.095874,0.13028,0.5031347750060644
1992.6,0.13213,122.86,7.6713,0.066585,0.055331,0.091044,0.063966,0.09667,0.13029,0.503884540284683
