Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
937.49,0.28858,121.67,4.3823,0.23899,0.07026,0.13526,0.055345,0.05501,0.107,0.6618665183778694
938.02,0.28862,121.68,4.3824,0.23905,0.070258,0.13526,0.055347,0.05501,0.107,0.6619306886871058
937.51,0.28923,121.59,4.4518,0.24048,0.070146,0.13497,0.055199,0.055223,0.10616,0.6621822632583074
935.73,0.29194,120.9,4.4166,0.24066,0.07018,0.13516,0.055277,0.055118,0.10655,0.6629536839537263
936.54,0.28895,121.82,4.3771,0.24028,0.070271,0.13528,0.055359,0.054993,0.10707,0.6632503659719843
935.28,0.28712,121.77,4.3871,0.24051,0.070268,0.13521,0.055321,0.055024,0.10694,0.6632689052582332
936.37,0.28758,121.78,4.377,0.24055,0.070279,0.13526,0.055349,0.054995,0.10707,0.6635000000882725
937.05,0.28894,122.0,4.3771,0.24178,0.070271,0.13528,0.055362,0.054991,0.10708,0.664758603669584
936.7,0.28907,121.77,4.3608,0.24186,0.070295,0.13535,0.055395,0.054949,0.10727,0.6651233364536647
929.26,0.2892,121.73,4.3813,0.24302,0.070282,0.13522,0.055331,0.055005,0.10701,0.6658768479201587
