Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
169.12,6.6665,60.358,13.504,0.17802,0.14425,0.74155,1.0664,0.26727,0.21694,0.14114,0.12191,0.13051,3.0080257438866114
140.6,7.7492,79.746,11.506,0.17545,0.14901,0.53747,1.2288,0.26696,0.36031,0.14382,0.12314,0.12824,3.1132027236549606
149.59,9.6987,70.647,12.614,0.175,0.14544,0.82357,1.2781,0.2653,0.13838,0.1409,0.12437,0.12633,3.21733490141054
165.53,7.4007,66.623,13.996,0.17792,0.14308,0.81759,1.1535,0.26682,0.30697,0.14063,0.12234,0.12968,3.258488105800421
166.5,5.1058,66.136,13.145,0.17982,0.14633,0.7341,1.0261,0.26943,0.53694,0.14346,0.11983,0.13376,3.2897465056514283
166.55,6.4233,66.935,13.597,0.17856,0.1445,1.0958,1.0596,0.2678,0.15053,0.1418,0.12131,0.13114,3.2910539486971953
143.42,4.7209,87.011,14.066,0.18139,0.1452,0.9912,1.0873,0.27076,0.22052,0.14483,0.11946,0.1353,3.2959223156365796
164.66,6.6607,60.572,13.57,0.17807,0.14392,0.73177,1.2788,0.26733,0.38238,0.14113,0.12211,0.13062,3.376106113561295
264.47,6.4902,28.962,19.852,0.18171,0.12888,0.64385,1.3198,0.26254,0.51422,0.12816,0.12531,0.13033,3.434838350037955
171.73,5.3427,65.884,13.576,0.17993,0.14538,1.1463,0.94684,0.26908,0.35479,0.14276,0.11991,0.13339,3.438325490871251
