Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
801.07,7.5668,372.02,7.9413,0.13709,0.066013,0.10072,0.16034,0.21755,0.13867,1.6119,0.24528,0.070943,2.748563918760172
672.7,9.4313,393.82,8.1156,0.13515,0.066026,0.10185,0.15964,0.21735,0.13864,1.6882,0.22856,0.069615,2.805046525643981
599.15,9.6516,429.71,7.9937,0.13927,0.065017,0.10211,0.16038,0.28085,0.13532,1.7837,0.21542,0.070154,2.9522671825545865
869.0,9.5366,373.48,8.0863,0.13364,0.064548,0.10156,0.15832,0.86544,0.1371,1.2012,0.23708,0.072272,2.971173370839073
748.2,8.1757,375.44,7.7182,0.13646,0.066549,0.10053,0.16083,0.21932,0.1389,1.8493,0.24067,0.07043,2.9829645972512133
865.65,9.6724,373.46,8.1558,0.13322,0.064494,0.10173,0.15811,0.85357,0.13724,1.2265,0.2364,0.072139,2.9833863468197883
598.05,9.6498,429.35,7.9408,0.13932,0.065085,0.102,0.16054,0.29066,0.13532,1.8128,0.21557,0.070165,2.991419121734509
873.33,9.4212,370.44,8.0376,0.1335,0.064775,0.10138,0.15847,0.88975,0.13749,1.1995,0.23917,0.072271,2.9962924047199535
878.52,9.4287,374.66,8.0658,0.1341,0.064419,0.10151,0.15838,0.83116,0.13667,1.2624,0.23698,0.072516,2.9981241370969958
856.83,9.555,373.63,8.0411,0.13372,0.064698,0.10149,0.15844,0.9289,0.13729,1.1726,0.23696,0.072102,3.0062039232663316
