Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1688.6,0.20987,150.64,5.9062,0.17258,0.12891,0.28868,0.29267,0.25854,0.10128,0.11684,0.12108,0.12924,1.6098177662111408
1672.9,0.20981,150.96,5.9041,0.17254,0.12904,0.28845,0.29563,0.2587,0.10126,0.11687,0.12101,0.12928,1.6127879495309458
1689.1,0.20991,151.49,5.8981,0.17254,0.12894,0.29567,0.29677,0.25857,0.10128,0.11685,0.12111,0.12921,1.6209392642797074
1690.1,0.20953,150.67,5.8955,0.17256,0.12892,0.29848,0.2955,0.25853,0.10128,0.11685,0.12111,0.12922,1.6224535212636575
1649.5,0.21028,150.92,5.9059,0.17252,0.12919,0.29635,0.29994,0.25891,0.10124,0.11691,0.12089,0.12936,1.6252969736756828
1672.9,0.2097,150.97,5.8833,0.17252,0.12906,0.29904,0.29808,0.25869,0.10126,0.11688,0.12105,0.12926,1.6258436157048224
1653.3,0.20976,150.9,5.9001,0.17251,0.12919,0.29358,0.3052,0.25889,0.10124,0.1169,0.12092,0.12934,1.6277586976777985
1693.8,0.20888,152.49,5.924,0.17248,0.12897,0.29487,0.30577,0.25863,0.10128,0.11685,0.12112,0.12916,1.6291379073749948
1671.7,0.20898,151.85,5.8867,0.17246,0.12912,0.30472,0.29958,0.25878,0.10125,0.11689,0.12106,0.12923,1.6330961412041807
1693.6,0.20968,151.48,5.8886,0.17253,0.12893,0.3088,0.29615,0.25853,0.10128,0.11685,0.12115,0.12918,1.6334080127618356
