iteration,cp_lh_0,cp_lh_1,cp_tau_0,cp_n,stress_error,geodesic_error,reduced_error
1,229.21730579616596,383.8142935238223,486.2202527467418,13.700975807958928,2.9684957735112127,0.1645674201541923,3.0208792102900537
2,106.7969906791039,125.31866602286823,352.76051530083066,11.708510321299483,1.7531119063944003,0.1787592135097183,1.8100127313009826
3,520.298823079849,273.80608826248,218.5508083442554,1.04947197113975,0.2273118141202551,0.12551032975988,0.2672629929010126
4,360.44927120514905,12.58716751737883,104.36659254752759,4.450059547512579,0.18199777920635046,0.09342305499455637,0.21173526120860972
5,993.3238284625421,535.4397937699727,259.9492108898196,10.09756656308194,2.3251357545500433,0.09226823446091395,2.354505645759676
6,773.6552611867854,823.1298233618219,125.97672599743301,19.698702770525557,1.20898681806202,0.1412704013854399,1.2539545834481578
7,435.2006003035072,697.7263139635604,394.2418152454258,17.3158464337451,2.6539051300072525,0.1843287886991991,2.7125788057584908
8,648.3950642230607,907.8620662619651,54.14191498517738,5.9765043108241835,0.4663470641229166,0.0938885811538691,0.49623272770396226
9,574.58,10.867,98.053,2.6252,0.28750961115141926,0.10157564021935464,0.31984214162868774
10,510.35,1.1361,72.338,1.1049,0.31492756832669394,0.12416753716810842,0.35445132295039616
11,10.042,7.9138,109.38,4.8865,0.36418143131642716,0.17440664081502955,0.4196967893039565
12,490.34,14.995,74.455,4.7415,0.16954024455172723,0.09368233204208246,0.19936025700147458
13,479.94,8.1903,77.675,4.7541,0.16964350223344837,0.0935726443465707,0.19942860000532162
14,66.908,175.94,98.163,2.1344,0.4046042347620176,0.10613238063128788,0.43838722076117764
15,497.41,1.4083,88.153,2.9094,0.161738915955635,0.09945056784107292,0.19339501488604027
16,401.73,0.012908,23.811,11.564,0.29077468472463147,0.09652394840731518,0.3214992117561741
17,441.67,10.891,93.212,1.9039,0.020552646092598013,0.10916094824359382,0.05529965510373103
18,455.78,13.932,91.906,1.9741,0.012103749051578695,0.10820035261942323,0.04654499097891333
