Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
301.22,226.33,74.399,9.6875,0.04957,0.13976,0.11047,0.1068,0.32853,0.042978,0.13424,0.02904,0.22145,1.1628361528903615
299.58,225.83,74.508,9.8308,0.049704,0.13985,0.11054,0.10696,0.33058,0.042572,0.13428,0.029021,0.22158,1.1650771855858992
299.42,226.79,74.499,9.8369,0.049704,0.13986,0.11053,0.10696,0.3311,0.042575,0.1343,0.029007,0.22158,1.165612121479152
299.4,225.27,74.509,9.7346,0.049658,0.13974,0.1105,0.10685,0.33156,0.042835,0.13424,0.02905,0.2215,1.1659315413211033
299.02,227.3,74.499,9.8082,0.049699,0.13982,0.11051,0.10693,0.33226,0.042669,0.1343,0.02901,0.22156,1.1667518908168135
299.01,227.12,74.525,9.7659,0.049681,0.13977,0.1105,0.10688,0.33252,0.042785,0.13428,0.029022,0.22152,1.166951923694454
298.9,226.76,74.535,9.8387,0.049732,0.13983,0.11054,0.10697,0.33261,0.042572,0.13429,0.029008,0.22159,1.1671337874320835
299.52,223.76,74.548,9.9704,0.049779,0.13998,0.11062,0.10711,0.33333,0.042123,0.13429,0.029003,0.22173,1.1679686804184954
298.91,227.1,74.457,9.8428,0.049719,0.13985,0.11053,0.10697,0.33376,0.042569,0.13431,0.029003,0.22159,1.168300125153995
298.23,224.89,74.718,9.8046,0.049783,0.13973,0.11055,0.10694,0.33413,0.04263,0.13423,0.029038,0.22157,1.1686101647090585
