Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
363.76,1.3409,132.03,10.528,0.035788,0.03578769143534831
363.76,1.3409,132.03,10.528,0.035788,0.03578769143534831
363.76,1.3409,132.03,10.528,0.035788,0.03578769143534831
363.76,1.3409,132.03,10.528,0.035788,0.03578769143534831
363.76,1.3409,132.03,10.528,0.035788,0.03578769143534831
363.76,1.3409,132.03,10.528,0.035788,0.03578769143534831
363.76,1.3409,132.03,10.528,0.035788,0.03578769143534831
363.76,1.3409,132.03,10.528,0.035788,0.03578769143534831
363.76,1.3409,132.03,10.528,0.035788,0.03578769143534831
363.76,1.3409,132.03,10.528,0.035788,0.03578769143534831
