Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
392.54,1.1668,140.24,20.0,0.016325,0.01632503898023229
392.54,1.1668,140.24,20.0,0.016325,0.016325038998574456
392.54,1.1668,140.24,20.0,0.016325,0.01632503902009376
392.54,1.1668,140.24,20.0,0.016325,0.016325039116431437
392.54,1.1668,140.24,20.0,0.016325,0.016325039118815766
392.54,1.1668,140.24,20.0,0.016325,0.016325039122586912
392.54,1.1668,140.24,20.0,0.016325,0.016325039187424867
392.54,1.1668,140.24,20.0,0.016325,0.016325039246219704
392.54,1.1668,140.24,20.0,0.016325,0.01632503934097375
392.54,1.1668,140.24,20.0,0.016325,0.01632503937234147
