Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
335.5,810.47,82.27,2.3282,0.10918,0.14211,0.043245,0.11848,0.22379,0.11737,0.097884,0.32641,0.096367,1.2748458245546916
333.5,796.89,82.281,2.3281,0.10893,0.14208,0.04331,0.1183,0.22375,0.11738,0.097568,0.33366,0.096261,1.2812305341701016
342.38,852.07,83.522,2.219,0.11242,0.14294,0.043173,0.12007,0.22462,0.1174,0.10231,0.32711,0.096425,1.2864687536995485
334.71,626.85,70.307,2.4473,0.10233,0.1406,0.043491,0.11542,0.22246,0.11809,0.088393,0.36613,0.095507,1.292428913554255
334.08,626.23,70.136,2.4901,0.10144,0.1404,0.043418,0.11518,0.2222,0.11816,0.087197,0.37563,0.095591,1.299209514170191
347.97,885.03,83.376,2.0037,0.11764,0.14445,0.043398,0.12253,0.22619,0.11784,0.10956,0.3224,0.096202,1.3002142511521888
351.07,876.69,82.222,2.0092,0.11733,0.14436,0.043429,0.12232,0.22612,0.11785,0.10909,0.32349,0.096252,1.3002481245966115
339.08,623.11,69.216,2.3944,0.10323,0.14079,0.043595,0.11563,0.22276,0.11814,0.089557,0.37901,0.095494,1.3082006916937918
341.42,872.81,84.784,1.9775,0.11805,0.14456,0.0435,0.12263,0.22633,0.1179,0.11019,0.33035,0.096126,1.3096446076709922
340.06,623.13,69.016,2.3799,0.10351,0.14085,0.043625,0.1157,0.22285,0.11815,0.089932,0.38121,0.095495,1.31131790086896
