Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
1864.4,0.45578,395.16,15.615,0.83482,0.22851,0.1211,0.19125,0.10283,0.18762,0.081643,0.089411,0.12184,1.9590216808215748
1864.8,0.46307,397.94,15.648,0.84861,0.22722,0.12103,0.19085,0.10283,0.18723,0.081495,0.089317,0.12143,1.9700070933855227
1859.7,0.4626,396.09,15.501,0.84879,0.22745,0.12098,0.19118,0.10273,0.18735,0.081641,0.089367,0.12171,1.9712104643721053
1856.0,0.44947,394.94,15.615,0.84994,0.2297,0.12108,0.19113,0.10293,0.18766,0.081445,0.089344,0.12204,1.9752924769063862
1874.6,0.46057,394.86,15.643,0.85553,0.22783,0.12115,0.19145,0.10275,0.18768,0.081878,0.089506,0.1217,1.979473871847234
1865.6,0.45649,397.03,15.599,0.87287,0.22798,0.12097,0.19072,0.1029,0.18716,0.081294,0.089216,0.12154,1.9946568557966955
1893.3,0.46057,393.04,15.591,0.87508,0.22764,0.12112,0.19161,0.10269,0.18765,0.082,0.089521,0.12158,1.998888721512518
1847.8,0.46947,402.48,15.669,0.88591,0.22605,0.1209,0.19012,0.10291,0.18669,0.081066,0.089105,0.12107,2.0038257714665577
1855.8,0.44493,395.25,15.621,0.88167,0.23039,0.12103,0.19084,0.10304,0.18751,0.08118,0.089221,0.12201,2.0068989256144207
1869.7,0.46691,395.03,15.599,0.89137,0.22706,0.12115,0.19164,0.10264,0.18774,0.08207,0.089583,0.1217,2.014948690403481
