Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (curve),Error (g237),Error (g86),Error (g303),Error (g59),Error (g63),Reduced Error
0.040084,0.39857,21.12,15.955,9.0855e-05,0.34689,0.06929,0.026466,0.047145,0.033969,0.19597,0.11995456156935562
0.039349,0.40262,20.994,15.96,9.0525e-05,0.34915,0.069319,0.026499,0.047172,0.03393,0.19602,0.12034754306680777
0.039526,0.38445,21.052,15.917,9.2086e-05,0.35091,0.069287,0.02645,0.047146,0.034018,0.1959,0.12061758296674008
0.04051,0.98882,20.98,15.793,9.0762e-05,0.36541,0.069645,0.026856,0.04713,0.033125,0.19752,0.12328089335533494
0.036115,0.56544,19.648,15.557,8.6659e-05,0.37324,0.069582,0.026768,0.047151,0.033429,0.19704,0.1245348523189273
0.056946,1.0988,24.103,15.954,9.0844e-05,0.38981,0.069323,0.026409,0.046906,0.033733,0.19652,0.1271159818091596
0.07949,0.78711,27.346,15.656,9.3776e-05,0.39936,0.068724,0.025757,0.046477,0.034866,0.19504,0.12837064237578322
0.039275,0.42151,21.422,15.786,9.0687e-05,0.40208,0.069351,0.02646,0.047218,0.034046,0.19581,0.12916127461600632
0.04858,0.28176,22.712,15.989,9.4945e-05,0.40416,0.068854,0.026043,0.046847,0.034614,0.19506,0.12926366974739065
0.037793,0.38141,21.177,15.867,9.0931e-05,0.41762,0.069345,0.026481,0.047255,0.034045,0.19577,0.13175289028797954
