Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
1990.8,0.23541,499.55,16.961,0.86897,0.49364,0.12089,0.12311,0.14571,0.1523,0.075274,0.055477,0.099505,2.1348762860557584
2007.3,0.23629,498.7,17.031,0.89209,0.47648,0.121,0.12323,0.14538,0.15234,0.075056,0.055511,0.099008,2.1400881619970287
1965.5,0.23598,499.57,16.892,0.85287,0.52077,0.12067,0.12303,0.14592,0.15243,0.075337,0.055497,0.10034,2.1468641352009965
1938.5,0.23706,499.57,16.864,0.84967,0.55605,0.12055,0.12296,0.14605,0.15258,0.075434,0.055502,0.10092,2.179717766656368
1927.2,0.23797,499.56,16.933,0.87751,0.5335,0.1207,0.12296,0.14599,0.15258,0.075564,0.055468,0.10033,2.184598028963095
2002.6,0.23811,499.59,16.872,0.87705,0.5489,0.12055,0.12332,0.14516,0.15267,0.074484,0.055707,0.1004,2.198245232686312
1932.3,0.23885,499.57,16.844,0.85575,0.58021,0.12042,0.12303,0.14583,0.15278,0.075157,0.055586,0.10127,2.2100301692738284
1924.2,0.23693,499.57,16.875,0.87448,0.56222,0.12058,0.1229,0.14623,0.15256,0.075664,0.055454,0.10094,2.211018690214774
1914.9,0.23795,499.54,16.884,0.87297,0.56534,0.12056,0.12291,0.14616,0.15265,0.075627,0.055472,0.10096,2.2126536965207904
1902.1,0.2394,499.99,16.844,0.87474,0.59112,0.12042,0.12292,0.14606,0.15282,0.075455,0.055532,0.10148,2.2405632569500313
