Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g95),Error (g287),Error (curve),Error (g240),Error (g207),Error (g101),Error (g72),Error (g14),Error (g262),Reduced Error
332.93,0.074959,75.022,10.802,0.13132,0.11062,0.34892,0.22341,0.038596,0.036288,0.10908,0.051514,0.14086,1.190617831217211
333.01,0.065723,74.98,10.718,0.13133,0.11059,0.35002,0.22332,0.038738,0.036254,0.10901,0.051472,0.14074,1.1914568908482568
332.36,0.068008,75.004,10.74,0.13133,0.11059,0.35031,0.22334,0.038684,0.036259,0.10901,0.05149,0.14077,1.1917873068243658
332.79,0.066292,74.981,10.708,0.13133,0.11058,0.35048,0.22331,0.038749,0.036244,0.10899,0.051471,0.14072,1.1918761477978512
336.69,0.076446,74.604,10.797,0.13129,0.11066,0.351,0.2234,0.038709,0.036354,0.10926,0.051457,0.14092,1.1930543275751198
329.62,0.073494,75.325,10.779,0.13135,0.11058,0.35292,0.22339,0.03854,0.036219,0.10891,0.051553,0.14078,1.1942482288213396
335.09,0.066016,74.878,10.632,0.13131,0.11058,0.35319,0.22321,0.038936,0.036205,0.10899,0.051415,0.14061,1.1944431826807569
334.84,0.064995,74.818,10.627,0.13131,0.11058,0.35331,0.22321,0.03894,0.036213,0.10899,0.051412,0.14061,1.1945754725612716
335.03,0.066017,74.849,10.62,0.13131,0.11058,0.3536,0.2232,0.038956,0.0362,0.10898,0.05141,0.14059,1.194830860914593
334.63,0.066562,74.708,10.677,0.13132,0.1106,0.35346,0.22328,0.038851,0.036266,0.10906,0.051431,0.14072,1.1949753052806447
