Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1327.5,0.19769,125.05,4.9603,0.056723,0.13257,0.19509,0.1021,0.069145,0.054785,0.6104065275476964
1321.7,0.19824,124.3,5.0121,0.056851,0.13229,0.19636,0.10174,0.068961,0.05471,0.6109162555972445
1326.1,0.19732,125.04,4.9556,0.056708,0.13258,0.19677,0.10213,0.069165,0.054789,0.6121486565810385
1327.3,0.20101,124.94,4.7133,0.056039,0.13377,0.19386,0.10408,0.069534,0.055147,0.6124397549217838
1278.8,0.19897,124.79,5.4218,0.057825,0.1301,0.20528,0.09911,0.067996,0.054193,0.6144989947082202
1324.2,0.19673,124.33,5.271,0.057502,0.1311,0.21223,0.10002,0.068298,0.054391,0.6235441661705807
1353.1,0.19746,123.48,5.001,0.056857,0.13258,0.21079,0.1018,0.068966,0.054744,0.6257420665934148
1321.9,0.19808,126.64,4.8701,0.056491,0.13293,0.21034,0.10273,0.069388,0.054914,0.6268008500528157
1323.0,0.2018,124.14,5.0259,0.056896,0.13223,0.21303,0.1016,0.068868,0.054702,0.6273299793474258
1321.5,0.19869,126.61,4.87,0.056492,0.13294,0.21107,0.10273,0.069381,0.054916,0.6275222185574355
