Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3605.1,5.3406,432.41,5.7166,0.14129,0.064698,0.11616,0.16158,0.6784,0.12621,2.3273,0.12789,0.064835,3.8084042949558716
3608.9,5.1194,420.93,5.7213,0.1382,0.065327,0.11584,0.16094,0.90297,0.12762,2.1934,0.12936,0.06414,3.897758970435263
3650.0,5.4171,428.52,5.78,0.13993,0.064594,0.11606,0.16119,0.34578,0.12668,2.7832,0.12841,0.064424,3.9302596831397114
3629.5,5.3097,430.55,5.7437,0.14105,0.064656,0.11634,0.16159,0.60705,0.12625,2.5636,0.12734,0.064741,3.9726388977688485
3612.0,5.3854,433.23,5.7517,0.14191,0.064471,0.11625,0.16136,0.63668,0.12614,2.5486,0.12649,0.064747,3.986657346451405
3608.9,5.0188,418.1,5.7206,0.13791,0.06546,0.11588,0.16085,1.021,0.12782,2.1894,0.12889,0.064026,4.011238747596885
3581.7,4.9934,418.1,5.6892,0.13779,0.065582,0.11573,0.16076,1.1898,0.12801,2.0809,0.12948,0.064007,4.07202861581845
3020.1,6.1616,297.52,11.115,0.12685,0.065093,0.10319,0.16048,0.56374,0.13798,2.6197,0.25746,0.073293,4.107790953137596
3596.6,5.0767,419.02,5.707,0.13772,0.065486,0.11565,0.16077,1.0577,0.12794,2.2624,0.12999,0.06402,4.121700282725707
3649.2,5.3417,431.72,5.8057,0.143,0.064186,0.11667,0.16128,0.85911,0.12601,2.464,0.12432,0.064629,4.123232152707938
