Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
726.1,12.418,290.02,279.03,187.58,0.10009,57.473,15.133,0.22364,0.14179,0.035694,0.57325,0.053585,0.21467,0.042396,0.11339,0.14222,1.540643070159133
448.14,12.856,279.08,277.8,300.34,1.6036,70.741,16.524,0.22793,0.14788,0.025344,0.59452,0.056931,0.26184,0.034946,0.11693,0.14081,1.6071389537092926
408.48,11.493,279.46,278.74,299.05,1.4282,73.765,16.346,0.22762,0.14718,0.025159,0.5899,0.056161,0.27584,0.034797,0.11669,0.14039,1.6137272162718073
469.38,9.9026,279.39,279.37,306.54,1.8918,75.266,16.697,0.22803,0.14769,0.026022,0.48942,0.058211,0.46972,0.036176,0.11793,0.14126,1.7144600338005427
645.64,9.8592,282.82,299.26,462.02,38.183,75.842,16.183,0.22641,0.14648,0.032244,0.82341,0.057058,0.13124,0.043572,0.12082,0.14034,1.72157469582509
646.13,9.859,282.44,282.52,454.03,36.895,78.378,16.531,0.22662,0.14652,0.03242,0.8072,0.057462,0.21868,0.043389,0.12113,0.14015,1.793565737644387
653.02,9.8574,279.2,279.63,382.37,11.922,78.893,16.176,0.22716,0.14598,0.032584,0.67367,0.060011,0.37101,0.042945,0.12055,0.14142,1.815315590003851
659.49,9.938,282.7,286.64,463.79,33.323,77.36,16.479,0.22649,0.14628,0.033049,0.7637,0.057441,0.31718,0.04391,0.12118,0.14054,1.8497772468952058
721.55,14.758,284.07,295.64,186.25,0.1169,53.884,14.573,0.22348,0.14255,0.035311,0.82928,0.05326,0.30829,0.042988,0.11258,0.14208,1.8898245370724633
651.54,6.2091,279.04,293.15,535.82,65.83,79.793,16.467,0.22599,0.14624,0.034746,0.95701,0.055883,0.18898,0.046546,0.12189,0.14081,1.9180950991477068
