Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
3368.7,5.3433,458.62,4.016,0.13763,0.070046,0.11419,0.16496,1.4441,0.13158,1.3782,0.13413,0.062906,3.6377381053102895
2421.4,3.5292,488.85,7.0896,0.18122,0.076126,0.12433,0.16012,0.83417,0.13806,2.0428,0.057271,0.058779,3.6728464487193775
3357.3,5.4366,455.83,4.0565,0.13719,0.070445,0.11394,0.1644,1.5292,0.13221,1.3566,0.13454,0.062818,3.701346109166683
3387.7,5.461,461.41,4.021,0.13707,0.070037,0.11421,0.16475,1.5663,0.13157,1.3292,0.13381,0.06287,3.7097530895065383
3357.3,5.4413,457.41,4.0318,0.13696,0.070399,0.11392,0.1644,1.5817,0.13217,1.3133,0.13462,0.06278,3.7102353890230972
3355.1,5.4424,456.56,4.0362,0.13699,0.070447,0.11388,0.16434,1.5708,0.13226,1.3411,0.13469,0.062777,3.7272410842153296
3350.0,5.4404,456.02,4.0749,0.13702,0.070556,0.11393,0.16439,1.5557,0.13226,1.362,0.13467,0.06281,3.733298058996817
3357.9,5.4636,459.38,4.0344,0.1366,0.07042,0.11397,0.1644,1.646,0.13211,1.2838,0.13451,0.062738,3.7444587264349174
3361.0,5.4634,460.76,4.0294,0.13647,0.070378,0.11403,0.16447,1.6666,0.13199,1.2693,0.13433,0.06272,3.750324055106689
3355.6,5.4153,457.75,3.9987,0.13694,0.07032,0.11387,0.1644,1.5859,0.13216,1.3652,0.13471,0.062752,3.7663076354812812
