Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1948.8,0.11942,124.5,20.0,0.13073,0.19292,0.056066,0.084122,0.07135,0.062038,0.5972277852471656
1949.0,0.11942,124.42,20.0,0.13075,0.19294,0.056065,0.084114,0.07136,0.062039,0.5972623037984882
1949.1,0.11941,124.51,19.995,0.13073,0.19296,0.056064,0.084122,0.07135,0.062038,0.5972684861701532
1948.8,0.1194,124.39,19.972,0.13073,0.1931,0.056053,0.084104,0.071367,0.062044,0.5973965116681713
1959.4,0.11997,123.77,19.995,0.13093,0.19295,0.056072,0.084065,0.071431,0.062019,0.5974656201365836
1949.1,0.11941,124.51,19.978,0.13072,0.19319,0.056058,0.084118,0.071353,0.06204,0.5974794931434412
1973.3,0.11864,123.94,19.888,0.13085,0.19316,0.056051,0.084108,0.071381,0.062031,0.5975839589445374
1959.4,0.12007,123.73,20.0,0.13094,0.19306,0.056074,0.084061,0.071437,0.062017,0.5975924908211837
1944.8,0.11928,124.65,19.987,0.13066,0.19346,0.056056,0.084132,0.071332,0.062046,0.5976896443422476
1959.0,0.12012,123.79,20.0,0.13093,0.19325,0.056074,0.084064,0.071434,0.062016,0.5977738737302156
