Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
186.44,0.59391,52.14,3.9982,1.4498e-06,0.071151,0.11962,0.059253,0.13906,0.054992,0.52006,0.964135440635539
186.01,0.61126,50.346,3.8611,1.4496e-06,0.071654,0.12082,0.059595,0.13947,0.055103,0.52059,0.9672217574644635
182.35,0.61041,50.654,3.8942,1.4295e-06,0.071587,0.12061,0.059521,0.13929,0.055103,0.53307,0.9791923674036278
185.84,0.62044,49.503,3.8627,1.4513e-06,0.071618,0.12061,0.059507,0.13944,0.055025,0.53501,0.981205333346094
187.25,0.58976,50.979,3.8334,1.47e-06,0.071836,0.12138,0.059823,0.13969,0.055237,0.53582,0.9837892276882676
179.49,0.63367,49.298,3.8262,1.3659e-06,0.071816,0.12123,0.059677,0.1394,0.055209,0.54037,0.9877050937046394
177.14,0.63889,49.491,3.8597,1.3596e-06,0.071704,0.12088,0.05954,0.13921,0.055155,0.54249,0.988974315972422
177.14,0.63749,49.475,3.8586,1.3596e-06,0.071714,0.12091,0.059551,0.13922,0.05516,0.54259,0.9891381782837437
182.08,0.64098,49.496,3.8366,1.4431e-06,0.071721,0.12083,0.059535,0.13936,0.055073,0.54453,0.9910498097734066
180.79,0.62965,49.495,3.8387,1.3435e-06,0.071743,0.12115,0.059666,0.13938,0.055217,0.54593,0.9930897588489127
