Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
933.8,0.48048,158.47,2.7752,0.018995,0.01899470824772205
933.8,0.48048,158.47,2.7752,0.018995,0.01899470824772263
933.8,0.48048,158.47,2.7752,0.018995,0.018994708247722664
933.8,0.48048,158.47,2.7752,0.018995,0.01899470824772274
933.8,0.48048,158.47,2.7752,0.018995,0.01899470824772274
933.8,0.48048,158.47,2.7752,0.018995,0.018994708247722755
933.8,0.48048,158.47,2.7752,0.018995,0.01899470824772277
933.8,0.48048,158.47,2.7752,0.018995,0.018994708247722793
933.8,0.48048,158.47,2.7752,0.018995,0.018994708247722807
933.8,0.48048,158.47,2.7752,0.018995,0.018994708247722893
