Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
859.23,0.49114,163.75,2.9522,0.15282,0.43362,0.24912,0.093754,0.17944,0.17884,0.071385,0.15684,0.10191,1.6177392139412141
852.71,0.49629,164.03,2.9566,0.15275,0.4352,0.24921,0.093797,0.17945,0.17887,0.071344,0.15673,0.10188,1.6192268466010742
852.88,0.49637,164.03,2.9587,0.15272,0.43625,0.24921,0.093805,0.17943,0.17887,0.071332,0.15669,0.10186,1.620179824814793
940.14,0.47453,165.53,2.9639,0.15311,0.4408,0.24816,0.093098,0.17874,0.17879,0.07156,0.15704,0.10198,1.6232854685837643
861.98,0.49564,164.51,2.9546,0.15282,0.44061,0.24908,0.093729,0.17939,0.17885,0.07138,0.15681,0.10191,1.624567536215145
849.68,0.49538,163.86,2.9583,0.15271,0.44063,0.24927,0.093835,0.17947,0.17887,0.071326,0.15668,0.10186,1.6246438842714523
847.36,0.49628,164.05,2.9532,0.15275,0.44128,0.24929,0.093832,0.17954,0.17886,0.07135,0.15675,0.10189,1.6255570635859045
846.79,0.49581,164.08,2.9448,0.15284,0.44233,0.24929,0.093835,0.17963,0.17883,0.071397,0.15688,0.10195,1.6269736355706104
866.34,0.49379,163.75,2.9364,0.15304,0.44325,0.24896,0.093735,0.1795,0.17878,0.071494,0.1571,0.10203,1.627878042791064
865.04,0.48949,164.55,2.9276,0.15311,0.44281,0.24903,0.093749,0.17964,0.17876,0.071544,0.15722,0.10207,1.6279230666781157
