Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g185),Error (g238),Error (g164),Error (g243),Error (g50),Error (g138),Error (g223),Error (curve),Reduced Error
3955.8,0.078066,126.36,19.859,0.10854,0.076352,0.15554,0.15042,0.051256,0.10871,0.12519,0.65004,0.53711,1.963166425088493
3920.2,0.080201,124.8,19.187,0.10865,0.076823,0.15538,0.15043,0.051074,0.10716,0.12496,0.59976,0.69305,2.067292305901274
3788.8,0.082491,161.2,13.623,0.10352,0.079631,0.15648,0.14941,0.052446,0.11337,0.12361,0.46405,0.8444,2.086939315772571
3793.1,0.082132,160.76,13.629,0.10355,0.079632,0.15649,0.14941,0.052443,0.11331,0.1236,0.46756,0.85045,2.096435797962357
3797.9,0.082444,161.69,13.702,0.1035,0.07956,0.15646,0.14943,0.052457,0.11357,0.12362,0.48362,0.83476,2.0969837344446596
3827.5,0.082249,158.59,13.696,0.10386,0.079597,0.15634,0.14934,0.052348,0.11226,0.12352,0.47053,0.85887,2.1066761512016647
3782.7,0.082137,160.17,13.927,0.10359,0.079475,0.15644,0.14954,0.052406,0.11368,0.12362,0.52608,0.80293,2.107768211073772
3816.5,0.082276,158.16,13.842,0.10389,0.079532,0.15632,0.14942,0.052323,0.11244,0.12353,0.49862,0.83259,2.1086694117653284
3789.0,0.082478,160.9,13.872,0.10356,0.079487,0.15643,0.14951,0.052419,0.11365,0.12362,0.5145,0.81572,2.1089109819310368
3788.9,0.08248,160.86,13.876,0.10357,0.079485,0.15643,0.14951,0.052417,0.11364,0.12362,0.51518,0.81521,2.1090677010769197
