Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
273.82,49.674,61.143,15.999,5.5658e-05,0.071715,0.077983,0.05918,0.2667,0.061279,0.13431,0.6711686602269543
271.25,49.787,61.496,15.999,5.4907e-05,0.071768,0.07796,0.059142,0.26706,0.061321,0.13415,0.6713956716852069
270.52,50.004,61.581,15.998,5.5275e-05,0.071669,0.078064,0.059142,0.26762,0.061319,0.13415,0.6719670150916577
270.13,49.108,61.657,15.986,5.4614e-05,0.071802,0.077907,0.059143,0.26791,0.061331,0.13409,0.6721809377486248
275.31,47.584,61.323,15.997,5.6476e-05,0.07164,0.077936,0.059263,0.26823,0.061222,0.13442,0.672715359787284
270.03,51.665,61.497,15.998,5.4423e-05,0.071781,0.078043,0.059073,0.26921,0.061371,0.13405,0.6735286181579307
270.79,48.041,60.776,15.989,5.3466e-05,0.072138,0.077568,0.059131,0.27084,0.061355,0.13412,0.6751498835265605
269.77,53.382,61.012,15.986,5.4623e-05,0.071726,0.078191,0.05903,0.27181,0.061395,0.13409,0.6762409610332458
271.56,55.629,61.043,15.985,5.4887e-05,0.071661,0.078339,0.058991,0.27213,0.061403,0.13411,0.6766262962181304
271.13,53.382,61.556,15.995,5.5591e-05,0.071539,0.078323,0.059071,0.27222,0.06135,0.13414,0.6766419673558581
