Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
2.2389,4.5493e-07,797.82,481.18,152.89,685.05,82.267,2.5765,0.31719,0.13719,0.040883,0.11636,0.11488,0.097003,0.071807,0.22871,0.088664,1.2126842548943362
0.022627,4.5335e-07,786.11,461.91,174.65,689.08,81.437,3.0459,0.3459,0.13689,0.043303,0.11785,0.11228,0.094935,0.057935,0.22716,0.078335,1.2145790555651677
2.6078,4.3322e-07,788.9,461.08,147.41,675.07,81.246,2.5665,0.32179,0.13716,0.041072,0.11641,0.1147,0.097124,0.0712,0.22876,0.08816,1.2163737842443985
2.588,4.3303e-07,788.45,461.14,147.42,677.79,81.25,2.574,0.32232,0.13712,0.041097,0.11642,0.1147,0.097092,0.071003,0.22873,0.088038,1.2165181874049955
0.010383,4.5173e-07,794.29,466.75,146.27,689.99,81.294,3.0302,0.35224,0.13764,0.043323,0.11757,0.11186,0.095021,0.056677,0.22773,0.077366,1.2194158976630927
0.022636,4.5334e-07,786.18,484.73,175.86,689.64,81.49,3.0401,0.3513,0.1369,0.042938,0.1177,0.11247,0.094849,0.05862,0.22721,0.078888,1.2208758066890242
2.7597,4.5497e-07,788.45,465.89,147.59,688.68,81.25,2.5813,0.32669,0.13703,0.04108,0.11645,0.11485,0.097134,0.070994,0.22869,0.088159,1.2210824063586299
0.013019,4.5278e-07,827.42,462.83,146.18,689.83,81.345,3.0324,0.35292,0.1377,0.043318,0.11754,0.11195,0.095601,0.056953,0.22821,0.077252,1.2214378313132694
2.547,4.3479e-07,783.39,461.13,147.25,675.65,80.714,2.571,0.33262,0.13712,0.041094,0.11646,0.11471,0.09717,0.071056,0.22872,0.088125,1.227077028561133
0.02278,4.4965e-07,782.65,476.66,175.18,793.03,81.647,3.1677,0.36601,0.13617,0.043935,0.11832,0.11356,0.094162,0.056123,0.22669,0.078354,1.2333340736929048
