Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
537.0,0.94854,129.42,1.4125,0.14723,1.7216,0.29615,0.10174,0.26255,0.16379,0.10177,0.12593,0.10489,3.0256675086396942
532.4,0.94881,134.13,1.4031,0.14793,1.7286,0.29566,0.1015,0.26224,0.16378,0.10206,0.12637,0.10477,3.0329049115287297
523.06,0.94859,132.32,1.4037,0.14759,1.7328,0.29613,0.10179,0.26274,0.16371,0.10202,0.12604,0.10508,3.0378876647782254
539.07,0.96133,132.9,1.4152,0.14752,1.7343,0.29578,0.10164,0.26215,0.16385,0.10179,0.12611,0.10478,3.037967755777714
621.24,0.92869,131.1,1.4061,0.14898,1.7404,0.29309,0.10024,0.25909,0.16427,0.10177,0.12826,0.10275,3.0388508224786976
519.05,0.93609,134.67,1.3818,0.14845,1.7379,0.29562,0.10134,0.2626,0.16365,0.10245,0.12668,0.10486,3.0435404982949987
654.62,0.76973,135.5,1.4906,0.1472,1.7503,0.29387,0.10156,0.25812,0.16466,0.10055,0.12617,0.10237,3.044793919340451
527.1,0.94005,135.92,1.4051,0.14795,1.7482,0.29574,0.10162,0.26231,0.16377,0.10209,0.12626,0.10487,3.052798426283976
659.38,0.89018,133.9,1.4033,0.1501,1.8226,0.29147,0.099728,0.25726,0.16448,0.10185,0.12959,0.10197,3.119006645743634
738.0,0.87099,129.91,1.4137,0.15088,1.8868,0.28904,0.099572,0.2544,0.16483,0.1015,0.13149,0.1012,3.179713957537753
