Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
259.82,630.3,90.612,2.6689,0.098003,0.13963,0.043521,0.11614,0.21897,0.11936,0.084743,0.30183,0.093104,1.2153010225347347
259.68,628.82,90.29,2.6617,0.098072,0.13964,0.043527,0.11616,0.21899,0.11935,0.08487,0.30304,0.093096,1.216745814433335
258.65,630.53,91.01,2.654,0.09821,0.13967,0.043543,0.11619,0.21898,0.11934,0.085093,0.30467,0.093098,1.218801789237367
261.97,624.62,88.598,2.7113,0.097341,0.1395,0.043513,0.11589,0.21896,0.11944,0.083635,0.30975,0.093171,1.2212092873034681
264.65,632.13,89.206,2.7191,0.097316,0.13948,0.043413,0.11601,0.21893,0.11944,0.083611,0.31069,0.093124,1.222015445896209
261.1,634.02,91.29,2.6858,0.097827,0.13959,0.043481,0.11613,0.21895,0.11936,0.084437,0.31062,0.093109,1.2235078043654788
249.37,604.04,89.466,2.6485,0.098012,0.13972,0.043935,0.11563,0.21906,0.11936,0.084679,0.31136,0.093376,1.2251250072862463
258.28,630.27,90.683,2.6598,0.098146,0.13965,0.043554,0.11615,0.21897,0.11936,0.084969,0.31252,0.09311,1.226437719122168
266.01,631.75,88.722,2.7619,0.096765,0.13938,0.04342,0.1158,0.21889,0.11953,0.082646,0.31916,0.09324,1.2288265134239535
260.9,630.15,91.225,2.5965,0.098854,0.1398,0.043464,0.11659,0.21908,0.11919,0.086304,0.31518,0.093235,1.231683255709487
