Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
690.04,0.37487,121.59,19.983,0.084584,0.070303,0.20065,0.055835,0.13007,0.061958,0.6033945785363283
692.67,0.37054,122.29,19.983,0.084622,0.070242,0.20085,0.05584,0.13002,0.061978,0.6035542429872052
690.29,0.37344,122.19,19.967,0.084628,0.070235,0.20228,0.055842,0.13001,0.061975,0.6049659030395186
690.36,0.37459,121.14,19.986,0.084552,0.070352,0.20261,0.055826,0.1301,0.061958,0.6053984529110654
694.11,0.37487,121.59,19.983,0.084575,0.070313,0.20277,0.055841,0.1301,0.061946,0.6055405632150466
704.41,0.35531,123.23,19.985,0.084644,0.070199,0.20358,0.055827,0.12998,0.062036,0.6062619561752103
699.31,0.36245,122.26,19.983,0.08459,0.070287,0.20364,0.055822,0.13004,0.062002,0.606371890180643
692.81,0.36623,122.85,19.982,0.084663,0.070178,0.20394,0.05584,0.12996,0.06201,0.6065946236184975
701.97,0.37002,121.73,19.964,0.084562,0.070325,0.20463,0.055837,0.13011,0.061959,0.607426350050672
692.35,0.37366,122.0,19.897,0.08462,0.070247,0.20554,0.055834,0.12999,0.061987,0.6082190336433556
