Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
1672.3,0.19054,279.62,3.1137,0.32875,0.099008,0.06683,0.15222,0.14039,0.2354,0.11592,0.15725,0.1086,1.404368496994863
1673.3,0.18857,278.51,3.1364,0.34477,0.098552,0.066514,0.15208,0.14015,0.23551,0.11505,0.157,0.10863,1.4182490510773984
1674.4,0.19141,277.5,3.069,0.34139,0.099705,0.067349,0.15247,0.14077,0.23526,0.11709,0.15771,0.10861,1.4203673902510285
1667.3,0.19297,402.14,3.0474,0.33366,0.10152,0.071115,0.15383,0.1427,0.23414,0.12636,0.15774,0.10717,1.428231485299156
1673.4,0.18873,266.02,3.1348,0.36529,0.098414,0.066127,0.15193,0.13994,0.23564,0.11395,0.15706,0.1088,1.4371477478375208
1675.3,0.19187,419.15,3.0836,0.35849,0.10116,0.071035,0.15376,0.14261,0.23412,0.12667,0.15741,0.10704,1.4522820549979691
1672.4,0.1902,284.3,3.0503,0.37154,0.10001,0.067802,0.15266,0.14105,0.23514,0.1184,0.15784,0.10852,1.4529653692162376
1671.3,0.19099,276.76,3.1591,0.38991,0.098231,0.066154,0.1519,0.13984,0.23565,0.1146,0.15677,0.10864,1.4616842919762987
1699.2,0.19197,274.97,3.0382,0.38007,0.10027,0.067747,0.15261,0.14105,0.23516,0.11853,0.15809,0.10862,1.4621491836889615
1669.7,0.19014,272.27,3.1679,0.39321,0.097962,0.06589,0.15178,0.13964,0.23575,0.11407,0.15667,0.10871,1.463664755767064
