Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
81.586,0.010091,815.34,453.45,485.41,957.2,86.321,2.5764,0.8983,0.13811,0.041748,0.12065,0.11926,0.09741,0.078742,0.22813,0.096102,1.818467997787396
77.9,0.0094817,815.36,504.53,483.12,933.52,86.213,2.6372,0.90457,0.13802,0.041767,0.12085,0.11881,0.098742,0.077765,0.22799,0.095596,1.824111889214472
72.186,0.010174,814.7,453.46,481.03,954.7,84.775,2.6258,0.93187,0.13766,0.041821,0.12076,0.11869,0.097373,0.076695,0.22785,0.094696,1.8474263555282515
74.774,0.0099978,815.33,453.95,482.52,959.85,87.192,2.5822,0.93146,0.13805,0.04183,0.1207,0.11904,0.097495,0.078399,0.22812,0.095849,1.8509424660619247
76.397,0.009665,815.37,455.95,469.54,997.93,87.307,2.5433,0.95282,0.13824,0.041528,0.12037,0.11994,0.096928,0.080044,0.22827,0.097055,1.8751965866863458
79.353,0.010072,817.85,453.51,479.25,998.41,86.318,2.5347,0.95573,0.13834,0.041442,0.12031,0.12023,0.096892,0.080623,0.22835,0.097441,1.8793552129121291
76.574,0.0099096,815.39,456.05,467.65,984.62,87.623,2.5529,0.96034,0.13817,0.041631,0.12046,0.11963,0.097049,0.079487,0.2282,0.096658,1.8816235924186897
81.154,0.010037,815.3,451.16,486.25,959.89,88.659,2.5717,0.96187,0.13818,0.041844,0.12065,0.1192,0.097464,0.078917,0.22817,0.096176,1.8824604764048394
76.682,0.0099477,814.23,456.05,467.72,974.42,87.747,2.5327,0.96132,0.13835,0.041697,0.12055,0.11958,0.09721,0.080005,0.22832,0.09701,1.884044414929259
85.103,0.018947,819.97,503.66,469.0,942.78,87.29,2.5469,0.95983,0.13838,0.041498,0.12008,0.1201,0.098006,0.080868,0.22823,0.097713,1.8846978903058427
