Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
976.79,0.41566,167.71,2.9711,0.15255,0.2924,0.24878,0.093996,0.17892,0.17904,0.071416,0.15636,0.10191,1.4753828532960602
978.05,0.40379,165.17,3.1909,0.15008,0.30401,0.24977,0.094101,0.17715,0.17985,0.070149,0.15301,0.10058,1.4786956671871039
986.47,0.40339,162.75,3.214,0.14987,0.30637,0.24976,0.094006,0.17685,0.17989,0.070044,0.1526,0.10044,1.4798379021508494
1000.3,0.4123,164.2,2.9837,0.1525,0.30189,0.24857,0.094008,0.17857,0.17906,0.071346,0.15626,0.10184,1.4840402093970857
962.23,0.41251,168.28,2.9265,0.15297,0.30566,0.2488,0.093915,0.17947,0.17889,0.071679,0.15692,0.10215,1.4904533822450399
989.3,0.40356,166.57,3.1519,0.15056,0.31512,0.24951,0.094227,0.17737,0.17975,0.070339,0.15382,0.10084,1.4915275497389577
1006.9,0.41287,164.51,2.9304,0.15315,0.3146,0.24831,0.093896,0.17906,0.17881,0.07174,0.15696,0.10218,1.4987053690335856
986.33,0.41333,162.74,3.0107,0.15214,0.32448,0.24875,0.094137,0.17835,0.17919,0.071132,0.15585,0.10163,1.5056705909088595
1021.5,0.3959,165.01,2.8961,0.15352,0.32024,0.24829,0.093821,0.17946,0.17868,0.071967,0.15738,0.10238,1.505724841270432
998.35,0.40696,161.4,3.2143,0.14995,0.33311,0.24954,0.094065,0.17667,0.17987,0.070054,0.15272,0.10046,1.5064323327750866
