Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Reduced Error
408.6,0.99155,138.36,14.403,0.013971,0.01397117057107766
408.6,0.99155,138.36,14.403,0.013971,0.013971170571079035
408.6,0.99155,138.36,14.403,0.013971,0.013971170571080025
408.6,0.99155,138.36,14.403,0.013971,0.01397117057108003
408.6,0.99155,138.36,14.403,0.013971,0.013971170571080252
408.6,0.99155,138.36,14.403,0.013971,0.013971170571080627
408.6,0.99155,138.36,14.403,0.013971,0.013971170571081055
408.6,0.99155,138.36,14.403,0.013971,0.013971170571081064
408.6,0.99155,138.36,14.403,0.013971,0.013971170571081713
408.6,0.99155,138.36,14.403,0.013971,0.013971170571081862
