Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3961.5,0.53058,63.55,7.1941,0.086664,0.13505,0.08272,0.16625,2.7685,0.33002,0.071159,0.13721,0.30325,4.0808510056094995
3949.0,0.53473,146.84,7.3948,0.091438,0.12323,0.070102,0.17403,2.7749,0.39218,0.074318,0.14666,0.26288,4.10977801483608
3951.9,0.52086,147.67,7.2822,0.090354,0.12276,0.070632,0.17511,2.722,0.52026,0.074935,0.14683,0.2686,4.19146142636298
3950.9,0.52815,148.21,7.2866,0.090521,0.12267,0.070489,0.17508,2.6629,0.63002,0.074893,0.14686,0.26738,4.240825171638695
3960.6,0.51152,60.439,7.1159,0.085287,0.13579,0.084619,0.16655,2.7287,0.51925,0.071726,0.13686,0.31268,4.241473120752943
3951.3,0.51236,176.29,7.3528,0.090679,0.12046,0.06952,0.17597,2.7535,0.74463,0.075725,0.14788,0.25708,4.435403280394971
3994.2,0.00032132,315.34,5.7023,0.075432,0.13498,0.089689,0.1797,2.793,0.6421,0.089756,0.13751,0.33774,4.479876922128562
3887.1,0.56697,99.741,7.1337,0.08959,0.12819,0.075198,0.17311,3.2436,0.26644,0.073164,0.14321,0.29801,4.490545453651501
3975.5,0.52069,141.15,7.433,0.091622,0.12386,0.070308,0.17316,3.2216,0.38995,0.073936,0.14624,0.26234,4.55300385350208
3978.3,0.53026,66.502,7.1928,0.086816,0.13424,0.081938,0.16665,2.7934,0.78369,0.07138,0.13755,0.30054,4.556170500259069
