Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1957.7,0.42966,215.64,1.4362,0.18924,0.12146,0.94093,0.17057,0.25321,0.18864,0.19907,0.10149,0.126,2.29060851014211
1939.8,0.43526,215.63,1.4347,0.18927,0.1215,0.94183,0.17063,0.25322,0.18869,0.19907,0.10139,0.12602,2.2916066470748917
1957.8,0.43289,217.66,1.4216,0.18943,0.12166,0.94227,0.17084,0.2532,0.18898,0.19901,0.10104,0.12612,2.2925699259622605
1944.3,0.44137,201.97,1.4281,0.18936,0.12172,0.96544,0.1708,0.2533,0.18888,0.19913,0.10185,0.12615,2.316634448393987
1889.6,0.44108,200.59,1.4531,0.18905,0.1214,0.96907,0.17042,0.25336,0.1883,0.19922,0.10235,0.12593,2.3191035800390214
1926.1,0.45836,215.58,1.4074,0.18967,0.12191,0.98078,0.17117,0.25323,0.18934,0.19895,0.10063,0.12626,2.331945185183996
1977.3,0.42565,215.64,1.418,0.18946,0.12172,0.98263,0.17088,0.25321,0.18906,0.19901,0.10111,0.12617,2.3332618914068286
1964.8,0.40963,215.64,1.437,0.18921,0.12146,0.99869,0.17054,0.25324,0.1886,0.1991,0.10162,0.12599,2.348453365384374
1917.7,0.42004,216.14,1.4238,0.18944,0.1217,1.0138,0.17088,0.25329,0.18893,0.19906,0.10114,0.12611,2.364365705570505
1978.3,0.41374,215.63,1.467,0.18874,0.12102,1.0249,0.16993,0.25321,0.18792,0.19915,0.10248,0.12572,2.373034561147549
