Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1437.5,0.28362,189.48,1.7581,0.18312,0.1189,0.41199,0.16617,0.25629,0.18086,0.25695,0.10404,0.1237,1.8020250316555195
1433.4,0.28462,189.66,1.7718,0.18285,0.11875,0.46883,0.16591,0.25626,0.18057,0.22547,0.10399,0.12361,1.8262381768702651
1420.9,0.27366,191.62,1.7903,0.18256,0.11855,0.47792,0.16573,0.25633,0.18009,0.23068,0.10435,0.12348,1.8396836299150248
1421.7,0.27478,193.37,1.7854,0.1827,0.11861,0.46825,0.16589,0.25634,0.18018,0.24439,0.10446,0.12352,1.844346944084504
1421.5,0.27481,193.41,1.7867,0.18267,0.11859,0.4732,0.16587,0.25634,0.18015,0.2409,0.10447,0.12351,1.8457125768866256
1431.3,0.27632,193.37,1.7763,0.18289,0.11871,0.44043,0.16604,0.25633,0.1804,0.28382,0.10444,0.12359,1.8566631498792168
1430.3,0.28854,191.12,1.757,0.18316,0.11891,0.42984,0.16623,0.25628,0.18088,0.29482,0.10402,0.12372,1.8578624949556675
1442.1,0.26905,188.67,1.7782,0.18276,0.11869,0.49917,0.16586,0.25632,0.18039,0.22849,0.10429,0.12356,1.8595336922609533
1439.0,0.2713,188.76,1.7712,0.1829,0.11876,0.49964,0.16598,0.25632,0.18055,0.228,0.10424,0.12361,1.8599949195779457
1437.6,0.2866,190.97,1.7662,0.18299,0.11882,0.48392,0.16605,0.25627,0.18069,0.24719,0.10406,0.12366,1.863639717499253
