Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.020647,1.4168e-07,753.98,498.32,142.18,794.27,79.321,3.1958,0.22758,0.13771,0.044861,0.11895,0.11182,0.097788,0.053673,0.22748,0.075569,1.0954455809509946
0.020647,1.4172e-07,754.01,498.32,142.16,794.26,79.184,3.1888,0.22987,0.1377,0.044821,0.11895,0.11183,0.097748,0.053815,0.22753,0.075678,1.0979358427621309
0.019994,1.3965e-07,753.97,502.43,141.54,759.6,79.738,3.1964,0.235,0.13793,0.044587,0.1188,0.11149,0.099895,0.053516,0.2275,0.07505,1.1037688486701356
0.020691,1.6747e-07,753.99,498.83,145.47,793.73,80.295,3.1952,0.23957,0.13747,0.044703,0.11876,0.11206,0.096141,0.053947,0.22728,0.075934,1.1058748844062853
0.02003,4.5506e-07,769.43,548.43,130.9,784.55,80.827,2.8839,0.22989,0.13739,0.042087,0.11794,0.11263,0.093803,0.061915,0.22907,0.08135,1.1060685358411988
0.020564,1.536e-07,765.47,504.07,174.05,793.6,80.548,3.1974,0.24585,0.13645,0.044293,0.11843,0.11297,0.09405,0.05439,0.22631,0.077215,1.109948363659802
0.020564,1.6146e-07,765.97,501.67,174.05,794.11,80.47,3.1942,0.24753,0.13645,0.044314,0.11845,0.11297,0.09408,0.054465,0.22635,0.077265,1.1118666008541862
0.020551,4.4443e-07,767.06,504.08,173.63,765.39,81.224,3.2064,0.25216,0.1364,0.043973,0.11846,0.11303,0.093706,0.054947,0.22628,0.077498,1.1164585132304703
0.020181,4.4432e-07,767.68,503.7,173.56,765.5,81.29,3.1972,0.25339,0.1364,0.043915,0.11842,0.11304,0.093715,0.055154,0.22633,0.077633,1.1180026265899714
0.020652,4.5133e-07,762.99,497.67,174.15,764.46,80.277,3.2955,0.25887,0.13653,0.044755,0.11901,0.11279,0.093575,0.052712,0.22592,0.075855,1.1200184583077024
