Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1021.7,9.3585,9.3712,11.834,0.095108,0.74023,0.074124,0.16793,0.14166,0.068829,1.2878773950988291
1022.7,9.3265,9.3946,11.754,0.095026,0.74035,0.074182,0.16783,0.14171,0.068825,1.287927946588182
1021.1,9.4102,9.3969,11.754,0.095261,0.73983,0.074209,0.16802,0.14185,0.068937,1.2881083050040265
1024.0,9.382,9.3932,11.749,0.095239,0.74006,0.074223,0.16801,0.14185,0.068924,1.2883031045667177
1023.4,9.3744,9.3931,11.72,0.095227,0.74005,0.074248,0.16798,0.14189,0.068937,1.2883302445670564
987.26,9.3364,9.5558,11.531,0.094149,0.74337,0.074061,0.16697,0.14138,0.068562,1.2884878275177418
1027.2,9.3557,9.3735,11.725,0.095286,0.74005,0.074275,0.16803,0.14193,0.068959,1.288534307267249
988.82,9.3133,9.4822,11.332,0.094449,0.74196,0.074335,0.16707,0.14195,0.068837,1.2885994703275994
1028.1,9.3721,9.3737,11.748,0.095337,0.74003,0.074263,0.16809,0.14192,0.068968,1.288609763626156
1024.0,9.3821,9.4017,11.75,0.095217,0.74049,0.074216,0.16799,0.14182,0.068911,1.2886554955906075
