Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
447.7,9.5,91.21,2.0723,0.043374,0.10342,0.095051,0.14488,0.22802,0.10985,0.2588,0.11459,0.12068,1.218658817194235
447.74,9.9498,90.41,2.0847,0.043365,0.103,0.094512,0.14472,0.22792,0.10949,0.26288,0.11449,0.12058,1.2209572092951182
447.93,9.5765,91.707,2.0484,0.043381,0.1039,0.096102,0.14517,0.22821,0.11054,0.25956,0.11471,0.1209,1.2224743363953388
447.63,9.7667,92.122,2.0403,0.043389,0.10412,0.096483,0.14526,0.22828,0.11078,0.26247,0.11477,0.12097,1.2265159834083217
447.68,9.5344,89.727,2.1229,0.043352,0.10235,0.092872,0.14428,0.22761,0.1084,0.27359,0.11432,0.12026,1.2270523537040097
447.06,13.237,91.561,2.041,0.043418,0.10363,0.096622,0.14524,0.22828,0.11081,0.26653,0.11472,0.12092,1.2301720729911363
449.43,13.257,91.337,2.0475,0.043411,0.10351,0.096303,0.14516,0.22823,0.11062,0.26815,0.11469,0.12087,1.230939166521095
447.97,9.6621,92.123,2.0537,0.043385,0.1039,0.095903,0.14511,0.22817,0.1104,0.26936,0.11471,0.12084,1.2317771606961656
448.88,9.0043,91.065,2.0484,0.043368,0.10387,0.096019,0.14517,0.22821,0.11052,0.26954,0.11469,0.12092,1.2323001028304676
447.7,12.873,90.598,2.0601,0.043399,0.10314,0.095724,0.14501,0.22812,0.11023,0.27169,0.11459,0.12075,1.2326541096288823
