Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (curve),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
542.75,0.51485,118.73,11.686,0.087297,0.17512,0.067352,0.064896,0.12809,0.055446,0.5782025846952862
539.67,0.51896,118.73,11.68,0.087326,0.17715,0.067332,0.064896,0.12809,0.055443,0.5802318715279753
549.47,0.4919,119.59,11.823,0.087269,0.17908,0.067327,0.064876,0.12798,0.055461,0.5819977599856199
544.81,0.5163,118.19,11.801,0.08722,0.18059,0.067411,0.064851,0.1281,0.055455,0.5836328210688941
549.15,0.50378,117.89,11.622,0.087253,0.18218,0.067396,0.064945,0.12812,0.055434,0.5853354494265698
542.92,0.51827,119.94,11.685,0.087333,0.18297,0.067302,0.064873,0.12805,0.055463,0.5859854130212949
534.34,0.52555,118.74,11.689,0.087368,0.18331,0.067303,0.064888,0.12808,0.055439,0.5863906212235792
549.48,0.50358,121.17,11.835,0.087275,0.18373,0.067308,0.064819,0.12796,0.055489,0.5865815675277695
535.15,0.5189,120.47,11.679,0.08744,0.18451,0.067204,0.064891,0.12798,0.055456,0.5874844679034715
538.2,0.51874,118.63,11.844,0.087279,0.18521,0.067358,0.064836,0.12806,0.055454,0.5881930506435974
