Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g86),Error (g59),Error (g237),Error (curve),Error (g303),Reduced Error
208.0,484.22,63.669,14.118,5.4619e-05,0.12809,0.054269,0.065431,0.093029,0.25038,0.067547,0.6587420117895141
208.18,484.87,63.359,14.123,5.4649e-05,0.12813,0.054259,0.065426,0.093022,0.25194,0.067573,0.6603561747758095
208.94,484.06,63.205,14.145,5.4524e-05,0.12818,0.054261,0.065408,0.092944,0.25213,0.067634,0.6605529172965693
208.76,484.19,63.631,14.246,5.4314e-05,0.1281,0.054279,0.065387,0.092848,0.25322,0.067678,0.6615118764176144
211.08,484.88,63.337,14.122,5.4648e-05,0.12822,0.054265,0.065388,0.09288,0.25943,0.067685,0.6678666130222587
206.85,481.29,63.667,14.247,5.4425e-05,0.12805,0.054281,0.065415,0.092913,0.26357,0.067605,0.67183091552416
208.15,495.2,62.69,14.158,5.4668e-05,0.12822,0.054221,0.06543,0.093123,0.26549,0.067604,0.674086006767515
199.45,539.48,62.914,14.334,4.7739e-05,0.1276,0.054157,0.065493,0.093584,0.2671,0.06752,0.6754542277219028
211.42,503.04,62.249,14.103,5.4539e-05,0.12837,0.054203,0.065403,0.093103,0.2677,0.067696,0.6764692698306393
206.53,493.19,62.695,14.082,4.8642e-05,0.12797,0.05426,0.065374,0.092916,0.26939,0.067754,0.6776699205779159
