Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
2000.0,0.12129,124.63,8.7946,0.065411,0.089505,0.1283,0.066522,0.13492,0.055125,0.539784949159374
2000.0,0.12129,124.63,8.7946,0.065411,0.089505,0.1283,0.066522,0.13492,0.055125,0.5397850198484188
2000.0,0.12121,124.64,8.797,0.065412,0.089503,0.1283,0.06652,0.13498,0.055126,0.5398470585768785
1999.8,0.1212,124.63,8.7957,0.06541,0.089504,0.1283,0.066521,0.13504,0.055126,0.5399092186649697
1999.8,0.12143,124.32,8.7388,0.065342,0.089577,0.12826,0.066587,0.1358,0.055096,0.5406583924238941
1999.5,0.12154,124.1,8.7838,0.065418,0.089501,0.1283,0.066531,0.13585,0.055109,0.5407094832733075
2000.0,0.12124,124.07,8.8697,0.065537,0.089378,0.12837,0.06643,0.13595,0.055148,0.5408187754836878
1996.8,0.12156,124.8,8.8384,0.065478,0.089432,0.12835,0.066468,0.13609,0.055148,0.5409595181791923
2000.0,0.12182,124.12,8.8777,0.065561,0.089357,0.12839,0.066414,0.13614,0.05515,0.5410203952281213
1999.9,0.12131,124.86,8.8478,0.065482,0.089431,0.12835,0.066457,0.1362,0.055153,0.5410751312686719
