Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1971.5,0.11993,124.63,17.212,0.13045,0.22618,0.056006,0.084597,0.070841,0.062749,0.630827628553013
1971.6,0.11897,125.38,17.21,0.13033,0.22767,0.056011,0.084667,0.070738,0.062738,0.6321515037882327
1971.2,0.11851,125.48,17.119,0.13026,0.2278,0.056012,0.08471,0.070687,0.062759,0.6322245937817461
1966.7,0.11956,124.54,17.212,0.1304,0.22788,0.055999,0.084608,0.070824,0.062748,0.6324556507938398
1978.6,0.11806,125.91,17.179,0.13025,0.23009,0.056021,0.084723,0.070663,0.062741,0.6344860448076836
1971.6,0.11988,125.33,17.312,0.13042,0.23272,0.056012,0.084616,0.070799,0.062713,0.6372741740165581
1966.0,0.11999,123.88,17.243,0.13048,0.23264,0.055992,0.08455,0.070907,0.062751,0.6373257103940129
1957.9,0.1198,124.2,17.221,0.13039,0.23409,0.055988,0.084595,0.070843,0.062747,0.6386438058023476
1966.3,0.11965,124.51,17.703,0.1305,0.23463,0.055987,0.084478,0.070958,0.062635,0.6391860920243316
1956.1,0.11961,124.36,17.228,0.13035,0.23508,0.055987,0.084611,0.070819,0.062741,0.639585768391253
