Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1923.1,0.13714,124.9,4.1829,0.11303,0.11021,0.10825,0.067362,0.037314,0.14328,0.14174,0.24781,0.5314,1.5004045767678231
1934.5,0.13638,124.81,4.2153,0.11307,0.1098,0.10827,0.066692,0.037018,0.14301,0.14151,0.24802,0.53361,1.5010116715375692
1914.5,0.13797,124.67,4.0769,0.11289,0.11162,0.10819,0.069471,0.03825,0.14427,0.14251,0.24711,0.52728,1.5015964008533853
1912.6,0.13797,124.63,4.0777,0.11289,0.1116,0.10819,0.069452,0.038241,0.14427,0.1425,0.24712,0.52766,1.5019233370685194
1912.9,0.13797,124.67,4.0829,0.1129,0.11153,0.10819,0.069348,0.038196,0.14421,0.14246,0.24715,0.52796,1.5019504201087712
1899.9,0.13895,124.79,4.1826,0.11301,0.11023,0.10829,0.067426,0.037349,0.14331,0.14175,0.24782,0.5337,1.5028766781671572
1911.7,0.1385,124.62,4.2017,0.11304,0.10998,0.1083,0.067029,0.037162,0.14314,0.14161,0.24794,0.5347,1.5029045227554167
1912.1,0.13798,124.92,4.1351,0.11296,0.11083,0.10821,0.068318,0.037742,0.14371,0.14208,0.24751,0.53168,1.5030504177829247
1915.5,0.13792,124.81,4.2081,0.11305,0.1099,0.10829,0.066884,0.03711,0.14309,0.14157,0.24798,0.53531,1.5031920609198806
1911.5,0.13812,124.92,4.132,0.11296,0.11087,0.10821,0.068384,0.037771,0.14374,0.14211,0.24748,0.53195,1.5034831957502877
