Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
306.45,756.57,81.903,3.4802,0.091373,0.1387,0.043277,0.11273,0.2184,0.11936,0.072394,0.28341,0.094972,1.1746106121357704
305.53,756.64,82.872,3.6066,0.09007,0.13848,0.043399,0.11244,0.21823,0.12,0.07053,0.28697,0.095311,1.1754365243362666
305.5,756.36,82.615,3.4814,0.091409,0.13871,0.043269,0.11278,0.21839,0.11929,0.072461,0.28463,0.094968,1.1759071377957264
306.43,756.6,82.647,3.4874,0.091326,0.1387,0.043282,0.11274,0.21838,0.11934,0.072343,0.28537,0.094978,1.1764543008223725
304.89,756.66,82.749,3.5127,0.0911,0.13866,0.043307,0.11271,0.21834,0.11945,0.072015,0.28643,0.095036,1.1770568794207643
305.52,756.91,82.629,3.4625,0.091616,0.13874,0.043237,0.11285,0.21842,0.11919,0.072758,0.28581,0.094946,1.1775552796959097
305.74,774.92,82.489,3.5067,0.09146,0.13872,0.043264,0.11292,0.21831,0.11938,0.07247,0.28671,0.095,1.1782284743349436
305.36,745.98,82.24,3.4817,0.091211,0.13867,0.043297,0.11265,0.21842,0.11936,0.072199,0.28755,0.094979,1.1783351998585365
305.63,759.6,82.616,3.4433,0.091863,0.13877,0.0432,0.11294,0.21844,0.11908,0.073106,0.2882,0.094926,1.1805321809701368
294.82,825.33,84.583,4.0225,0.087984,0.1382,0.043944,0.11251,0.21778,0.12199,0.067247,0.29548,0.095982,1.1811154961465635
