Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
182.48,537.94,63.547,11.186,0.1258,0.023889,0.268,0.3371,0.13551,0.098875,0.11376,0.11968,0.02725,1.2498536494175556
182.48,537.88,63.607,11.178,0.12581,0.023888,0.26799,0.33722,0.13558,0.098877,0.11369,0.11967,0.027253,1.2499710004851776
182.96,536.92,63.478,11.213,0.12575,0.023866,0.26801,0.33783,0.13573,0.098814,0.11365,0.11964,0.027256,1.2505534819394906
181.7,536.26,63.465,11.487,0.12545,0.024009,0.26814,0.34161,0.13373,0.098789,0.11408,0.11971,0.027343,1.252859838529876
182.51,538.93,63.718,11.178,0.12582,0.023885,0.26798,0.3405,0.13552,0.098892,0.11373,0.11967,0.027253,1.253244081616237
182.48,539.5,63.7,11.173,0.12583,0.023887,0.26798,0.34175,0.13548,0.098909,0.11379,0.11968,0.027247,1.2545648923549702
182.45,537.53,63.618,10.982,0.12608,0.023851,0.26786,0.34118,0.13711,0.098994,0.11282,0.11961,0.027199,1.254715487431674
182.47,532.12,63.544,11.459,0.12536,0.023892,0.26807,0.3435,0.13442,0.098608,0.11416,0.11962,0.027377,1.2550091513452948
183.69,538.52,63.14,11.549,0.12538,0.023835,0.26815,0.34382,0.13412,0.098636,0.11456,0.11966,0.027319,1.2554859137431316
182.44,537.87,63.759,11.244,0.12571,0.023891,0.268,0.34322,0.13515,0.098831,0.11389,0.11967,0.027285,1.2556364243722036
