Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
970.49,0.26002,120.15,19.928,0.055793,0.26435,0.13053,0.070912,0.084313,0.061898,0.6677915011904889
967.02,0.25966,120.64,19.78,0.05579,0.26517,0.13043,0.070855,0.08435,0.061908,0.6685054752868929
967.26,0.25925,120.56,19.78,0.055788,0.26539,0.13043,0.070853,0.084353,0.061912,0.6687241682147318
974.58,0.25297,122.17,19.93,0.055819,0.26587,0.13039,0.070655,0.084504,0.061934,0.669173556625692
965.02,0.26005,120.51,19.709,0.055783,0.26606,0.1304,0.07086,0.084346,0.061914,0.6693685575410142
963.93,0.25991,121.15,19.712,0.055793,0.26611,0.13038,0.070818,0.084373,0.061909,0.6693895684632796
964.5,0.25869,121.16,19.712,0.055791,0.26618,0.13037,0.070796,0.084393,0.061916,0.6694418320064226
963.05,0.25789,121.67,19.489,0.055781,0.26676,0.13019,0.070719,0.084442,0.061922,0.6698155083138244
963.29,0.25781,121.7,19.45,0.055778,0.26702,0.13016,0.070711,0.084446,0.061923,0.6700390921044451
983.04,0.25816,118.55,19.768,0.055756,0.26702,0.13029,0.070923,0.084297,0.061832,0.6701167206201267
