param_type,param_name,out_l_bound,out_u_bound,in_l_bound,in_u_bound,base
input,cp_tau_s,0,1,1.4626824424930074,3.2992675316086015,10
input,cp_b,0,1,0.32795121456819326,1.2852871973693971,10
input,cp_tau_0,0,1,1.9181771748268672,2.681883156660884,10
input,cp_n,0,1,0.6153502481744987,1.247506824149921,10
input,average_strain,0,1,-2.0954359163163234,-0.544196180123393,10
output,average_stress,0,1,2.5281708210871674,3.834948149617437,10
output,g59_phi_1,0,1,0.22690908496548198,0.28357257796692453,10
output,g59_Phi,0,1,0.3484995702838377,0.36419440860693814,10
output,g59_phi_2,0,1,0.6327710047017497,0.6491303221219458,10
output,g63_phi_1,0,1,0.2788907249286784,0.31991764989524263,10
output,g63_Phi,0,1,0.44600873368401195,0.4866571313388806,10
output,g63_phi_2,0,1,0.5796692935547203,0.6051433679800674,10
output,g86_phi_1,0,1,0.3125581495215206,0.32656114396419317,10
output,g86_Phi,0,1,0.252416090544274,0.28546729046005725,10
output,g86_phi_2,0,1,0.5570738943660124,0.5728832141971627,10
output,g237_phi_1,0,1,0.334996280243225,0.3367998313481107,10
output,g237_Phi,0,1,0.3398090652195195,0.3620864529203951,10
output,g237_phi_2,0,1,0.6129638927195424,0.6221829267827501,10
output,g303_phi_1,0,1,0.40330930382686836,0.4161576896321848,10
output,g303_Phi,0,1,0.300899687772249,0.3207277266441732,10
output,g303_phi_2,0,1,0.6502395074846365,0.6660965854124316,10
